product,knowledge_layer,count
Consultify,Layer 1: Field Reality,10
Consultify,Layer 2: Problem Deep Dives,10
Consultify,Layer 3: Solution Logic,10
Consultify,Layer 4: Decision Support,10
Consultify,Layer 5: Execution And Transformation,10
IoT,Layer 1: Field Reality,10
IoT,Layer 2: Problem Deep Dives,10
IoT,Layer 3: Solution Logic,10
IoT,Layer 4: Decision Support,10
IoT,Layer 5: Execution And Transformation,10
IRIS,Layer 1: Field Reality,10
IRIS,Layer 2: Problem Deep Dives,10
IRIS,Layer 3: Solution Logic,10
IRIS,Layer 4: Decision Support,10
IRIS,Layer 5: Execution And Transformation,10
DT,Layer 1: Field Reality,10
DT,Layer 2: Problem Deep Dives,10
DT,Layer 3: Solution Logic,10
DT,Layer 4: Decision Support,10
DT,Layer 5: Execution And Transformation,10
Marketplace,Layer 1: Field Reality,10
Marketplace,Layer 2: Problem Deep Dives,10
Marketplace,Layer 3: Solution Logic,10
Marketplace,Layer 4: Decision Support,10
Marketplace,Layer 5: Execution And Transformation,10
Vector,Layer 1: Field Reality,10
Vector,Layer 2: Problem Deep Dives,10
Vector,Layer 3: Solution Logic,10
Vector,Layer 4: Decision Support,10
Vector,Layer 5: Execution And Transformation,10
