PATH	CLASS	WHY
.tmp-ie-live-acceptance.mjs	QUARANTINE_RUNTIME	run artifacts, generated/screenshots
AI_HANDOVER/finance-final-tenant-snapshot-20260808/README.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-final-tenant-snapshot-20260808/consultify-finance-dbr77-20260808.json.gz	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-final-tenant-snapshot-20260808/consultify-finance-dbr77-20260808.json.gz.sha256	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-final-tenant-snapshot-20260808/consultify-finance-dbr77-20260808.manifest.json	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/CHECKPOINT.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/SHA256SUMS	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/consultify-finance-recovery.dump	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/finance-apator-recovery-20260807.json	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/git-status.txt	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/head.txt	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/storage.tar.gz	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/tracked-changes.patch	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/finance-recovery-20260807-0915/untracked-files.tar.gz	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/threads/consultify_artifact_uiux_report_b_audit.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/threads/ui_table_repair_45_autonomous_supervision.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
AI_HANDOVER/threads/ui_table_repair_45_successor_handoff_2026-08-08.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
CONSULTIFY_COMPLETE_MVP_CHECKPOINT.md	KEEP_DOC_PACKAGE	handover/checkpoint notes
CONSULTIFY_ROUND2_HARDENING_BACKLOG.csv	KEEP_DOC_PACKAGE	handover/checkpoint notes
Harvard/wdrozenie-100/_HANDOFF_2026-07-30_PRZESIADKA.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_HANDOFF_AGENT_SEJF_2026-07-30.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_HANDOFF_EXCEL_I_MATERIALY_2026-07-29.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_HANDOFF_MVP_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_HANDOFF_MVP_KPI_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_INWENTARZ_FUNKCJI_EDYTORA_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_KANON_JEZYK_NAWIGACJI_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_KANON_PRAWY_PANEL_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_KROK3_KONTRAKTY_VS_KOD_2026-08-03.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_MVP_PLAN_I_ODBIOR_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_MVP_PRZEGLAD_MENU_2026-07-28.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_MVP_ZAKRES_TESTY_JUSTYNA_2026-07-29.md	KEEP_CONTEXTUAL_DOC	history + decision records
Harvard/wdrozenie-100/_ODBIOR_GRAFIK_16_MODULOW_2026-08-03.md	KEEP_CONTEXTUAL_DOC	history + decision records
