Sprzedaż netto,,,,,,Lata:,2024,,,
"UWAGA - jeśli istnieje osobny plan działania lub opracowany dokument analizy przyczyny pierwotnej, w komórce ""Komentarze"" wystarczy przywołać dany dokument (nie ma potrzeby powielania informacji i działań).",,,,,,,,,,
Miesiąc,Czy osiągnięto cel?,Czy wymagane są działania?,Opis problemu,Główna przyczyna,Opis działań,Odpowiedzialność,Data zakończenia,,Komentarze,"Status
(OTWARTY/
ZAMKNIĘTY)"
2023-01-01 00:00:00,,,,,,,,,,
2023-02-01 00:00:00,,,,,,,,,,
2023-03-01 00:00:00,,,,,,,,,,
2023-04-01 00:00:00,,,,,,,,,,
2023-05-01 00:00:00,,,,,,,,,,
2023-06-01 00:00:00,,,,,,,,,,
2023-07-01 00:00:00,,,,,,,,,,
2023-08-01 00:00:00,,,,,,,,,,
2023-09-01 00:00:00,,,,,,,,,,
2023-10-01 00:00:00,,,,,,,,,,
2023-11-01 00:00:00,,,,,,,,,,
2023-12-01 00:00:00,,,,,,,,,,
