,Plant Balanced Scorecard,,,,,,,,,,,,,,,,,,,,,,,,Edycja,,01,
,,Zakład :,,,,,,,,,,,,,Rok,,2024,,,2026-09-05 00:00:00,,Przygotowany przez,,,,,,
,,,,,,,,,,,,,,,Data rewizji,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,MT,OBSZAR,,WSKAŹNIK,,,Jednostka,Częstotliwość,Typ wskaźnika,Odpowiedzialność,,BENCHMARK  TYC/SKA,DOPUSZCZALNE LIMITY [%],2024,2023-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,YTD,
,,,,,Metoda liczenia,Definicja,,,,,,,,CEL REZULTAT,,,,,,,,,,,,,,
GD (SALES),SPRZEDAŻ,SALES DIRECTOR,,WIELKOŚĆ SPRZEDAŻY NETTO,Wielkość sprzedaży netto = Przychody brutto − Rabaty − Zwroty − Skonta Bezpośrednio ze sprawozdań finansowych,"Wielkość sprzedaży netto odnosi się do całkowitych przychodów ze sprzedaży produktów lub usług po odjęciu wszelkich rabatów, zwrotów i skont. Jest to miara efektywności sprzedaży i pokazuje, ile firma zarobiła na sprzedaży po uwzględnieniu zniżek i korekt.",min.,Miesiąc,Rozliczeniowy,Sprzedaż,,,,CEL,,,,,,,,,,,,,,
,,,,,,,LC/1000,,,,,,,Rezultat,,,,,,,,,,,,,,
,,,,WIELKOŚĆ SPRZEDAŻY NETTO (eksport),"j.w., dla sprzedaży eksportowej","Jak wyżej, dla eksportu",min.,Miesiąc,Rozliczeniowy,,,,,CEL,,,,,,,,,,,,,,
,,,,,,,LC/1000,,,,,,,Rezultat,,,,,,,,,,,,,,
,,,,WIELKOŚĆ SPRZEDAŻY NETTO (kraj),"j.w., dla sprzedaży krajowej","Jak wyżej, dla sprzedaży krajowej",min.,Miesiąc,Rozliczeniowy,,,,,CEL,,,,,,,,,,,,,,
,,,,,,,LC/1000,,,,,,,Rezultat,,,,,,,,,,,,,,
,,,,WIELKOŚĆ SPRZEDAŻY NETTO (narastająco),"j.w., narastająco",Jak wyżej,min.,Miesiąc narastająco,Rozliczeniowy,Sprzedaż,,,,CEL,,,,,,,,,,,,,,
,,,,,,,LC/1000,,,,,,,Rezultat,,,,,,,,,,,,,,
,,,,WIELKOŚĆ SPRZEDAŻY NETTO (w odniesieniu do budżetu),WIELKOŚĆ SPRZEDAŻY NETTO (w odniesieniu do budżetu) = Sprzedaż rzeczywista / Sprzedaż netto budżetowana x100%,"Wskaźnik, który mierzy, jak dobrze rzeczywista sprzedaż netto realizuje założenia budżetowe. Jest to wskaźnik wykorzystywany do oceny skuteczności zarządzania sprzedażą w kontekście zaplanowanych celów finansowych.",min.,Miesiąc,Rozliczeniowy,Sprzedaż,,,,CEL,,,,,,,,,,,,,,
,,,,,,,%,,,,,,,Rezultat,,,,,,,,,,,,,,
,,,,WIELKOŚĆ SPRZEDAŻY NETTO (w odniesieniu do prognozy),WIELKOŚĆ SPRZEDAŻY NETTO (w odniesieniu do prognozy) = Sprzedaż rzeczywista / Sprzedaż netto prognozowana x100%,"Wskaźnik, który mierzy, jak dobrze rzeczywista sprzedaż netto realizuje założenia prognozy. Jest to wskaźnik wykorzystywany do oceny skuteczności zarządzania sprzedażą w kontekście zaplanowanych celów finansowych.",min.,Miesiąc,Rozliczeniowy,Sprzedaż,,,,CEL,,,,,,,,,,,,,,
,,,,,,,LC/1000,,,,,,,Rezultat,,,,,,,,,,,,,,
