criterion_id,applicable,status,implementation_or_evidence,test_ref,result,final_sha,blocker_group,owner_of_missing_dependency,source_file_line
AEV8-APPROVAL-03-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/AGENT_EXECUTION_V8_SSOT.md:500; maps to one or more of the required surfaces Zlecenia list / pr",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI/backend (governance/history/AEV8 cross-cutting rows),docs/product/AGENT_EXECUTION_V8_SSOT.md:500
CW-00-008-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:40; maps to one or more of the required surfaces Zlec",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:40
CW-00-009-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:52; maps to one or more of the required surfaces Zlec",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:52
CW-00-010-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:62; maps to one or more of the required surfaces Zlec",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/00_CASE_WORKSPACE_CANON.md:62
CW-01-OD10-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:31; maps to one or more of the required surfaces Z",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:31
CW-01-021-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:121; maps to one or more of the required surfaces ",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:121
CW-01-023-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:134; maps to one or more of the required surfaces ",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:134
CW-01-026-INV13-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:166; maps to one or more of the required surfaces ",,UNVERIFIED,PENDING-CANDIDATE-SHA,ATTENTION-QUEUE-SHARED,My Work module (shared cross-Case attention queue),docs/product/case-workspace/01_PRODUCT_CANON_AND_MODES.md:166
CW-02-001-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:11; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:11
CW-02-002-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:18; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:18
CW-02-003-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:28; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:28
CW-02-004-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:30; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,ATTENTION-QUEUE-SHARED,My Work module (shared cross-Case attention queue),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:30
CW-02-007-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:51; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:51
CW-02-008-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:53; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:53
CW-02-009-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:65; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:65
