branch	sha	parent_baseline	zakres	scalona	nadal_potrzebna	kolizje
codex/e2e-true-20260813	6d90112005	f3e7df565e	prawdziwy-browser-E2E	TAK-bezposrednio	nie-scalac-ponownie	-
codex/fix-focus-ring-20260813	4b16de0244	f3e7df565e	naprawa-fokusu	TAK-bezposrednio	nie-scalac-ponownie	-
codex/fix-hub-library-20260813	ab8ee5582b	f3e7df565e	naprawa-Library-Sessions	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a11-siri-pm-20260813	85ae001a8c	f3e7df565e	SIRI-PM-v2-COORD-08	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a12-registers-20260813	a299a6cb8a	f3e7df565e	rejestry-tresci	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a13-drd-scoring-20260813	707f070ffd	f3e7df565e	DRD-scoring-v2-COORD-11	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a14-boot-20260813	710863dcce	f3e7df565e	bootstrap-P0A	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a2-kernel-20260813	f6ded74547	f3e7df565e	kontrakty-kernel	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a3-drd-20260813	0dedfb4e13	f3e7df565e	pakiet-DRD	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a4-siri-20260813	efc79a16f2	f3e7df565e	pakiet-SIRI	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a5-workspace-20260813	4141b8da7f	f3e7df565e	powloka-workspace	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a6-drd-slice-20260813	f76c215e74	f3e7df565e	DRD-vertical-slice	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a7-siri-slice-20260813	1d10b34017	f3e7df565e	SIRI-vertical-slice	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-a8-outputs-20260813	b960534d97	f3e7df565e	Output-Report-Initiative	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-p0-http-20260813	827a5c558c	f3e7df565e	realna-sciezka-HTTP	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-p0a-bootstrap-20260813	5b5eb28891	f3e7df565e	macierz-bootstrapu	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-p0b-freeze-20260813	17ac1d28b0	f3e7df565e	freeze-16-krokow	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-p0c-ui-20260813	ca64351b13	f3e7df565e	UI-zrodlo-prawdy-HTTP	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-p0d-a9-20260813	3e848b421d	f3e7df565e	A9-restart-evidence	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s1-artifacts-20260813	cfd327293c	f3e7df565e	CEL2-discovery-artefaktow	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s2-roles-20260813	6a77a20b20	f3e7df565e	CEL3-role-approval	TAK-przez-mape-filter-repo	nie-scalac-ponownie	SHA-przepisany->15b6643a28
codex/mac-s3-offline-20260813	17652c3da7	f3e7df565e	CEL4-osiem-stanow	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s4-teresa-20260813	2d76f4fa71	f3e7df565e	CEL5-6-Teresa-voice	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s5-siri-20260813	7c67d47819	f3e7df565e	CEL9-SIRI-E2E	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s6-dark-a11y-20260813	79c26bba13	f3e7df565e	CEL7-dark-a11y	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s7-a10-audit-20260813	0cfb696f26	f3e7df565e	A10-odbior-reczny	TAK-bezposrednio	nie-scalac-ponownie	-
codex/mac-s8-reopen-e2e-20260813	a032eec4c2	f3e7df565e	CEL1-reopen-E2E	TAK-przez-mape-filter-repo	nie-scalac-ponownie	SHA-przepisany->3ec45e0c45
codex/method-assessment-clean-20260813	22815cd950	f3e7df565e	INTEGRACYJNA-kandydat	TAK-bezposrednio	TAK-to-kandydat	-
codex/method-assessment-core-20260813	eb3e2b5c85	f3e7df565e	poprzedni-kandydat-PRZED-filter-repo	TAK-przez-mape-filter-repo	NIE-wciagnie-248MB-HAR	SHA-przepisany->14e65cd768
