sciezka	katalog	typ	rozmiar_B	istnieje_na_dysku
docs/qa/a9-2026-08-13/00-timestamps.log	docs/qa/a9-2026-08-13	dokument	21262	TAK
docs/qa/a9-2026-08-13/02-migrations-v2.log	docs/qa/a9-2026-08-13	dokument	27181	TAK
docs/qa/a9-2026-08-13/02-migrations.log	docs/qa/a9-2026-08-13	dokument	27114	TAK
docs/qa/a9-2026-08-13/02b-post-fail-db-state.log	docs/qa/a9-2026-08-13	dokument	100257	TAK
docs/qa/a9-2026-08-13/02c-schema-verify.log	docs/qa/a9-2026-08-13	dokument	1146	TAK
docs/qa/a9-2026-08-13/03-api-ready.json	docs/qa/a9-2026-08-13	json	150	TAK
docs/qa/a9-2026-08-13/03-frontend.log	docs/qa/a9-2026-08-13	dokument	4037	TAK
docs/qa/a9-2026-08-13/03-server.log	docs/qa/a9-2026-08-13	dokument	139644	TAK
docs/qa/a9-2026-08-13/04a-seed.log	docs/qa/a9-2026-08-13	dokument	632	TAK
docs/qa/a9-2026-08-13/05a-roles-seed.log	docs/qa/a9-2026-08-13	dokument	170	TAK
docs/qa/a9-2026-08-13/06-network-browser.log	docs/qa/a9-2026-08-13	dokument	2809	TAK
docs/qa/a9-2026-08-13/06-req-transition-in_review.log	docs/qa/a9-2026-08-13	dokument	1361	TAK
docs/qa/a9-2026-08-13/07-req-freeze.log	docs/qa/a9-2026-08-13	dokument	4566	TAK
docs/qa/a9-2026-08-13/08-req-report.log	docs/qa/a9-2026-08-13	dokument	1714	TAK
docs/qa/a9-2026-08-13/09-req-presentation-initiative.log	docs/qa/a9-2026-08-13	dokument	3126	TAK
docs/qa/a9-2026-08-13/10-api-ready-after-restart.json	docs/qa/a9-2026-08-13	json	149	TAK
docs/qa/a9-2026-08-13/10-frontend-restart.log	docs/qa/a9-2026-08-13	dokument	514	TAK
docs/qa/a9-2026-08-13/10-server-restart.log	docs/qa/a9-2026-08-13	dokument	59548	TAK
docs/qa/a9-2026-08-13/11-req-reopen-after-restart.log	docs/qa/a9-2026-08-13	dokument	5376	TAK
docs/qa/a9-2026-08-13/12-req-reopen.log	docs/qa/a9-2026-08-13	dokument	1280	TAK
docs/qa/a9-2026-08-13/12-server-indicator.png	docs/qa/a9-2026-08-13	zrzut	303773	TAK
docs/qa/a9-2026-08-13/13-req-reopen-refreeze.log	docs/qa/a9-2026-08-13	dokument	4644	TAK
docs/qa/a9-2026-08-13/14-req-report-v2-supersede.log	docs/qa/a9-2026-08-13	dokument	1752	TAK
docs/qa/a9-2026-08-13/15-lineage.sql.txt	docs/qa/a9-2026-08-13	sql	2638	TAK
docs/qa/a9-2026-08-13/16a-duplicate-submit.log	docs/qa/a9-2026-08-13	dokument	2922	TAK
docs/qa/a9-2026-08-13/16b-stale-revision.log	docs/qa/a9-2026-08-13	dokument	1290	TAK
docs/qa/a9-2026-08-13/16c-unauthorized-role.log	docs/qa/a9-2026-08-13	dokument	944	TAK
docs/qa/a9-2026-08-13/16d-cross-org.log	docs/qa/a9-2026-08-13	dokument	2577	TAK
docs/qa/a9-2026-08-13/16d-seed-other-org.log	docs/qa/a9-2026-08-13	dokument	33	TAK
docs/qa/a9-2026-08-13/16e-retry-request.log	docs/qa/a9-2026-08-13	dokument	2400	TAK
docs/qa/a9-2026-08-13/16f-selfheal-delete-output.log	docs/qa/a9-2026-08-13	dokument	214	TAK
docs/qa/a9-2026-08-13/16f-selfheal-drive-to-frozen.log	docs/qa/a9-2026-08-13	dokument	3122	TAK
docs/qa/a9-2026-08-13/16f-selfheal-retry.log	docs/qa/a9-2026-08-13	dokument	2775	TAK
