path	klasyfikacja	uwaga
.claude/launch.json	TEST	wspoldzielony miedzy sesjami, w .gitignore, wymaga git add -f
.gitignore	SHARED_CONTRACT	
dev-render/drd-artifacts-main.tsx	TEST	
dev-render/drd-artifacts.html	TEST	
dev-render/drd-workspace-main.tsx	TEST	
dev-render/drd-workspace.html	TEST	
dev-render/main.tsx	TEST	
dev-render/method-workspace-main.tsx	TEST	
dev-render/method-workspace.html	TEST	
dev-render/mpq-report-presentation-main.tsx	TEST	
dev-render/mpq-report-presentation.html	TEST	
dev-render/s4-teresa-panel-main.tsx	TEST	
dev-render/s4-teresa-panel.html	TEST	
dev-render/screens/drd-artifacts.tsx	TEST	
dev-render/screens/drd-library-entry.tsx	TEST	
dev-render/screens/method-workspace.tsx	TEST	
dev-render/screens/mpq-report-presentation.tsx	TEST	
dev-render/screens/s4-teresa-panel.tsx	TEST	
dev-render/screens/siri-tier.tsx	TEST	
dev-render/screens/siri-workspace.tsx	TEST	
dev-render/siri-tier-main.tsx	TEST	
dev-render/siri-tier.html	TEST	
dev-render/siri-workspace-main.tsx	TEST	
dev-render/siri-workspace.html	TEST	
dev-render/vite.config.ts	TEST	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/ASSESSMENT_CORE_CANDIDATE.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/ASSESSMENT_PRODUCT_CANDIDATE.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/CHECKPOINT_DRD_VERTICAL_SLICE.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/CONTENT_COMPLETION_REGISTER.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/COORDINATION.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/COORDINATION_REQUIRED_REJESTRY.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/DRD_MODEL_TRACEABILITY.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/DRD_PATHWAY_MAPPING_TASK.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/DRD_SCORING_V1_VS_V2.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/DRD_SCORING_V2_BACKFILL_PLAN.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/EVIDENCE_LEDGER.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/EVIDENCE_LEDGER_TESTS.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/READINESS_MATRIX.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/REMEDIATION_REPORT.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/SHARED_CONTRACT_MANIFEST.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/SIRI_PM_V1_VS_V2.md	EVIDENCE	
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/SIRI_PM_V2_BACKFILL_PLAN.md	EVIDENCE	
docs/qa/a10-2026-08-13/00-api-ready.json	EVIDENCE	
docs/qa/a10-2026-08-13/01-library-dark-1280x800.png	EVIDENCE	
