claim	evidence_path_or_command	exists_on_disk	kind
dokumentacja modułu	docs/functional/11_audits/AUDITS_CANDIDATE_2026-08-13.md	YES	FILE
dokumentacja modułu	docs/functional/11_audits/AUDITS_CURRENT_STATE_AND_SOURCE_REGISTER.md	YES	FILE
dokumentacja modułu	docs/functional/11_audits/README.md	YES	FILE
dokumentacja modułu	docs/functional/11_audits/TRIADA_CHECKLIST_2026-08-13.md	YES	FILE
dokumentacja modułu	docs/program/CROSS_CUTTING_STANDARDS.md	YES	FILE
dokumentacja modułu	docs/program/CROSS_MODULE_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/DOCUMENTATION_CLEANUP_REPORT_2026-07-30.md	YES	FILE
dokumentacja modułu	docs/program/DOCUMENTATION_STATUS.md	YES	FILE
dokumentacja modułu	docs/program/GLOSSARY.md	YES	FILE
dokumentacja modułu	docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/COORDINATION.md	YES	FILE
dokumentacja modułu	docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/EVIDENCE_LEDGER.md	YES	FILE
dokumentacja modułu	docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/SHARED_CONTRACT_MANIFEST.md	YES	FILE
dokumentacja modułu	docs/program/OPERATING_MODEL.md	YES	FILE
dokumentacja modułu	docs/program/README.md	YES	FILE
dokumentacja modułu	docs/program/VISION_AND_PROMISE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/ACCEPTANCE_BOARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGENT_TEAM_OPERATING_MODEL.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/01_PARTNER_PORTAL_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/02_ORGANIZATION_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/03_MEETING_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/04_AUDITS_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/05_MATERIALS_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/06_FINANCE_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/07_RESULTS_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/08_EXECUTION_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/09_INITIATIVES_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/10_ASSESSMENT_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/11_TOOLS_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/12_INTERVIEW_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ADMIN_PANEL_AI_TERESA_CONNECTIONS_AND_POLICY_ENGINE.md	YES	FILE
