path	class	status	lines_added
dev-render/main.tsx	TEST	ADDED	15
dev-render/screens/audyty-piec-powierzchni.tsx	TEST	ADDED	682
dev-render/screens/audyty-warsztat-kryterium.tsx	TEST	ADDED	943
dev-render/screens/tools-sesja-wyjscie.tsx	TEST	ADDED	46
docs/functional/11_audits/AUDITS_CANDIDATE_2026-08-13.md	MODULE_OWNED	ADDED	309
docs/functional/11_audits/AUDITS_CURRENT_STATE_AND_SOURCE_REGISTER.md	MODULE_OWNED	ADDED	273
docs/functional/11_audits/TRIADA_CHECKLIST_2026-08-13.md	MODULE_OWNED	ADDED	216
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/COORDINATION.md	EVIDENCE	ADDED	182
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/EVIDENCE_LEDGER.md	EVIDENCE	ADDED	130
docs/program/METHOD_ASSESSMENT_CORE_2026-08-13/SHARED_CONTRACT_MANIFEST.md	EVIDENCE	ADDED	230
server/migrations/20260813_audits_method_core.sql	MIGRATION	ADDED	721
server/migrations/20260813b_audits_source_classification_split.sql	MIGRATION	ADDED	175
server/scripts/cleanup-audit-test-data.ts	FOREIGN_OR_SUSPECT	ADDED	121
server/src/Gateway.ts	FOREIGN_OR_SUSPECT	ADDED	6
server/src/routes/audits/__tests__/mounting.integration.test.ts	TEST	ADDED	73
server/src/routes/audits/__tests__/verticalSlice.http.test.ts	TEST	ADDED	469
server/src/routes/audits/actions.routes.ts	MODULE_OWNED	ADDED	203
server/src/routes/audits/ai.routes.ts	MODULE_OWNED	ADDED	132
server/src/routes/audits/context.ts	MODULE_OWNED	ADDED	81
server/src/routes/audits/criteria.routes.ts	MODULE_OWNED	ADDED	139
server/src/routes/audits/evidence.routes.ts	MODULE_OWNED	ADDED	161
server/src/routes/audits/findings.routes.ts	MODULE_OWNED	ADDED	161
server/src/routes/audits/index.ts	MODULE_OWNED	ADDED	63
server/src/routes/audits/outputs.routes.ts	MODULE_OWNED	ADDED	96
server/src/routes/audits/packs.routes.ts	MODULE_OWNED	ADDED	200
server/src/routes/audits/programs.routes.ts	MODULE_OWNED	ADDED	211
server/src/routes/audits/proposals.routes.ts	MODULE_OWNED	ADDED	139
server/src/routes/audits/reports.routes.ts	MODULE_OWNED	ADDED	118
server/src/routes/audits/sources.routes.ts	MODULE_OWNED	ADDED	110
server/src/routes/audits/trail.routes.ts	MODULE_OWNED	ADDED	107
server/src/services/audits/__tests__/aiBoundaries.test.ts	TEST	ADDED	322
server/src/services/audits/__tests__/aiProposalService.test.ts	TEST	ADDED	458
server/src/services/audits/__tests__/auditTrailService.test.ts	TEST	ADDED	334
server/src/services/audits/__tests__/correctiveActionService.test.ts	TEST	ADDED	242
server/src/services/audits/__tests__/criterionService.test.ts	TEST	ADDED	286
server/src/services/audits/__tests__/evidenceService.test.ts	TEST	ADDED	193
server/src/services/audits/__tests__/findingService.test.ts	TEST	ADDED	409
server/src/services/audits/__tests__/goldenFlow.e2e.test.ts	TEST	ADDED	418
server/src/services/audits/__tests__/lifecycleGates.test.ts	TEST	ADDED	151
server/src/services/audits/__tests__/normSourceService.test.ts	TEST	ADDED	148
server/src/services/audits/__tests__/outputService.test.ts	TEST	ADDED	256
server/src/services/audits/__tests__/packService.test.ts	TEST	ADDED	293
server/src/services/audits/__tests__/packValidator.test.ts	TEST	ADDED	264
server/src/services/audits/__tests__/programService.test.ts	TEST	ADDED	194
server/src/services/audits/__tests__/proposalService.test.ts	TEST	ADDED	258
server/src/services/audits/__tests__/reportRenderer.test.ts	TEST	ADDED	336
server/src/services/audits/__tests__/segregationOfDuties.test.ts	TEST	ADDED	325
server/src/services/audits/__tests__/sourceClassificationAxes.test.ts	TEST	ADDED	242
server/src/services/audits/__tests__/testHelpers.ts	TEST	ADDED	149
