branch	sha	merged_into_candidate	scope	still_needed
codex/final-f1-integ	11ea86bbf350ef4cfa40fc5c441219aa31512611	yes	-	no
codex/final-f2-pres	bc9b8ae0cde93611b799944b54144ddf8208c1fd	yes	-	no
codex/final-f3-status	f4f43cbc5116ed130bc817399d3bd9dacb109a90	yes	-	no
codex/final-f4-swotui	c5c8dc6a490fa634ec75aa7db1d24f436ee0bcc2	yes	-	no
codex/final-f6-disco	068adf2fcb4b66bbd55e1900a3c2b5e6527be958	yes	-	no
codex/g-g1-evidence	266ad20258e11c270f6c21241a0a435a3d0bac31	yes	-	no
codex/g-g2-idea	e9b617d2b2182e0921929e2433514f073f3773e7	yes	-	no
codex/g-g3-regress	523d39567978fd25904cd93c27c8bf04a0834f3e	yes	-	no
codex/g-g4-roster	aff1158586475943800fb848a33e5960f076beab	yes	-	no
codex/g-g5-mpq	cc479601dd093948538b50c7ace276fd98520c93	yes	-	no
codex/h-h1-speca	1f04000c1d87fc78bf189465d3d10c796f1b1923	no	-	yes
codex/h-h2-slide	0cdac670a877de923ac2c30e2ade4bfdb0a343a1	yes	-	no
codex/h-h3-manifest	b3ae18dbddd75926e4d57fc2961ef9d6b29e17fb	yes	-	no
codex/h-h4-regress	af54e2c051ca40f37fa743e9421cd97dba162ef5	yes	-	no
codex/h-h5-e2e	91b562ea6658b4873dab2a36808a1e9e2cd34421	yes	-	no
codex/method-tools-20260813	d358a9fbe6ef1a9145f1e4b799fd6c7a7986778d	yes	-	no
codex/sprint-s1-cas	5e6ae271a1d49ad960014d3e5738c128a5fb2ca6	yes	-	no
codex/sprint-s2-artifact	617b7c3eabcb6ab4f7791b95a4831de38ca937ae	yes	-	no
codex/sprint-s3-teresa	39a8e5ac865ee3bc39ec16e0a179ff3824b2765c	yes	-	no
codex/sprint-s4-outputs	c8ac4ca68ee973e0e730d4b1ad1b9f5da51c4110	yes	-	no
codex/sprint-s5-e2e	fb6dfedd4268171d0b81598ee571bb68cc182ce8	yes	-	no
codex/sprint-s6-integ	9b511bc206378c30db4c85b8eb1c717dea3cb5f9	yes	-	no
codex/tools-final-20260813	fb6dfedd4268171d0b81598ee571bb68cc182ce8	yes	-	no
codex/tools-integration-20260813	eb2a9370e66b10ca003157878fdbf3791096e125	yes	-	no
codex/tools-wt-bootstrap-20260813	5d5646b3e393e546ff3bb2e280beeaabe97db5b3	no	-	no
codex/tools-wt-ctrl-20260813	892dff8b9466cb9fce4fb22ffa2158c4ce47f4ad	yes	-	no
codex/tools-wt-idem-20260813	ef29137d1ea1ee002c4ba0f8753129a84b46ffe2	no	-	no
codex/tools-wt-mig948-20260813	1ab4a4da92bf501627b570e718ce8163c879a8e1	yes	-	no
codex/tools-wt-outputs-20260813	b1692a29fa234eeeec781d457443c0f6b1d99ea3	no	-	no
codex/tools-wt-uihttp-20260813	97e30b7940b2a0f08ab4fabffa47112ea37c4745	no	-	no
fix/dev-render-dangling-import-20260813	8b379a0eb9da1dd389e892852931caa8e4bb704f	no	-	yes
