path	sources	owner	decision
docs/product/AGENT_EXECUTION_V8_HARVEY_BENCHMARK_AND_CHARTER_REVIEW_2026-08-07.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/AGENT_EXECUTION_V8_INCREMENTAL_DELIVERY_OPERATING_PLAN_2026-08-07.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/AGENT_EXECUTION_V8_PRODUCT_CHARTER_DOD_AND_EPICS.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/AGENT_TRANSFORMATION_LIFECYCLE_CANON_V1.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/epics/EPIC-AGENT-T01_AUTONOMOUS_TRANSFORMATION_END_TO_END.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/epics/EPIC-AGENT-T01_CURRENT_RUNTIME_MAP_2026-08-07.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/product/epics/T01-I01_TRANSFORMATION_CASE_MICRO_CONTRACT.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/ui-standards/02-components/COMPONENT_CATALOG_AND_OWNERSHIP_REGISTRY.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
docs/ui-standards/CANON.md	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
package.json	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
public/locales/en/translation.json	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
public/locales/pl/translation.json	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/routes/my-work.routes.ts	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/services/v8/artifactRegistryService.ts	DOCUMENTS_COMMITTED,DOCUMENTS_LOCAL,REPORT_B_UI_LOCAL,UI45_COMMITTED,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/services/workbook/WorkbookGeneratorService.ts	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/services/workbook/__tests__/deterministicInitiativeBudget.test.ts	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/services/workbook/deterministicInitiativeBudget.ts	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
server/src/types/artifactRegistry.ts	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,UI45_COMMITTED,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
src/components/AIChat/AgentHubShell.tsx	DOCUMENTS_COMMITTED,REPORT_B_UI_LOCAL,V8_COMMITTED,V8_LOCAL	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
src/components/AIChat/KimiWorkspace/ArtifactModuleHome.tsx	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
src/components/AIChat/KimiWorkspace/PrezentacjeView.tsx	DOCUMENTS_COMMITTED,UI45_COMMITTED	SHARED_FILE_INTEGRATOR	MANUAL_INTEGRATION_REQUIRED
