                              List of relations
 Schema |                        Name                        | Type  | Owner 
--------+----------------------------------------------------+-------+-------
 public | _migration_518_done                                | table | a9
 public | _v8_flag_backup_20260710                           | table | a9
 public | _z139_repair_backup_20260710                       | table | a9
 public | access_code_usage                                  | table | a9
 public | access_codes                                       | table | a9
 public | access_requests                                    | table | a9
 public | account_deletion_requests                          | table | a9
 public | activity_logs                                      | table | a9
 public | adkar_assessments                                  | table | a9
 public | admin_approval_requests                            | table | a9
 public | admin_approval_workflows                           | table | a9
 public | admin_audit_logs                                   | table | a9
 public | admin_dashboards                                   | table | a9
 public | admin_report_executions                            | table | a9
 public | admin_role_assignments                             | table | a9
 public | admin_saved_reports                                | table | a9
 public | admin_sessions                                     | table | a9
 public | advisor_response_log                               | table | a9
 public | agent_folders                                      | table | a9
 public | ai_actions                                         | table | a9
 public | ai_actions_config                                  | table | a9
 public | ai_actions_log                                     | table | a9
 public | ai_agent_audit_metrics                             | table | a9
 public | ai_agent_audit_reviews                             | table | a9
 public | ai_agent_audit_runs                                | table | a9
 public | ai_agent_plan_steps                                | table | a9
 public | ai_agent_plans                                     | table | a9
 public | ai_approval_requests                               | table | a9
 public | ai_audit_log                                       | table | a9
 public | ai_audit_logs                                      | table | a9
 public | ai_authoring_audit                                 | table | a9
 public | ai_budgets                                         | table | a9
 public | ai_chat_run_events                                 | table | a9
 public | ai_chat_runs                                       | table | a9
 public | ai_context_snapshots                               | table | a9
 public | ai_contexts                                        | table | a9
 public | ai_conversation_context                            | table | a9
 public | ai_conversations                                   | table | a9
 public | ai_cost_alerts_sent                                | table | a9
 public | ai_cost_tracking                                   | table | a9
 public | ai_cost_usage                                      | table | a9
 public | ai_data_access_log                                 | table | a9
 public | ai_data_classifications                            | table | a9
 public | ai_decision_audit_log                              | table | a9
 public | ai_decision_outcomes                               | table | a9
 public | ai_deep_thinking_confirms                          | table | a9
 public | ai_deep_thinking_metrics                           | table | a9
 public | ai_dismissed_nudges                                | table | a9
 public | ai_dlp_rules                                       | table | a9
 public | ai_doc_usage_log                                   | table | a9
 public | ai_domain_playbooks                                | table | a9
 public | ai_drafts                                          | table | a9
 public | ai_eval_auto_triggers                              | table | a9
 public | ai_eval_datasets                                   | table | a9
 public | ai_eval_golden_sets                                | table | a9
 public | ai_eval_regression_gates                           | table | a9
 public | ai_evaluations                                     | table | a9
 public | ai_experiment_variants                             | table | a9
 public | ai_experiments                                     | table | a9
 public | ai_feature_control                                 | table | a9
 public | ai_feedback                                        | table | a9
 public | ai_global_strategies                               | table | a9
 public | ai_governance_policies                             | table | a9
 public | ai_grounding_logs                                  | table | a9
 public | ai_ideas                                           | table | a9
 public | ai_inbox                                           | table | a9
 public | ai_industry_templates                              | table | a9
 public | ai_instruction_suggestions                         | table | a9
 public | ai_intent_routing_log                              | table | a9
 public | ai_knowledge_embeddings                            | table | a9
 public | ai_learned_patterns                                | table | a9
 public | ai_learning_interactions                           | table | a9
 public | ai_learning_jobs                                   | table | a9
 public | ai_learning_metrics                                | table | a9
 public | ai_logs                                            | table | a9
 public | ai_long_term_memory                                | table | a9
 public | ai_market_inbox                                    | table | a9
 public | ai_market_snapshots                                | table | a9
 public | ai_model_overrides                                 | table | a9
 public | ai_model_permissions                               | table | a9
 public | ai_nudge_dismissals                                | table | a9
 public | ai_nudge_log                                       | table | a9
 public | ai_observability_snapshots                         | table | a9
 public | ai_observations                                    | table | a9
 public | ai_operator_communications                         | table | a9
 public | ai_operator_interventions                          | table | a9
 public | ai_operator_plans                                  | table | a9
 public | ai_operator_profiles                               | table | a9
 public | ai_ops_report_state                                | table | a9
 public | ai_org_memory                                      | table | a9
 public | ai_organization_memory                             | table | a9
 public | ai_organization_settings                           | table | a9
 public | ai_partial_responses                               | table | a9
 public | ai_pattern_feedback                                | table | a9
 public | ai_playbook_executions                             | table | a9
 public | ai_playbook_runs                                   | table | a9
