id,scope,tools,surfaces,mutates,destructive,undo_kind,teresa_callable,source
idea.element.add,current_view,all,menu3;context,true,false,local_stack,yes,src/components/MyWork/IdeaMapWorkspace.tsx MENU3_ADD_ACTION_PER_TOOL (commit f5d0271992)
idea.view.auto_layout,current_view,mindmap;process_flow,menu3;context;toolbar,true,false,local_stack,yes,"src/components/MyWork/processflow/useProcessFlowQuickActions.ts:149 (pf_auto_layout) + IdeaMapWorkspace.tsx onAutoLayout (commit f5d0271992) · REUSED (2026-08-09, N6 kontynuacja) by ProcessFlowContextMenu.tsx getNodeContextActions ""auto-layout"" item (onAutoLayout → handleAutoLayout(), IdeaProcessFlowTool.tsx ~linia 3797) — genuine same action despite living in the NODE menu: handleAutoLayout() rearranges the WHOLE current view, not just the clicked node, identical to the canvas/pane menu's own ""Auto-layout"" item that already owns this id. `surfaces` already includes 'context' (added for Mind Map's pane menu, E02-N5-PANE) — no field changes needed for this second, honest reuse."
idea.canvas.cursor_select,current_view,mindmap;whiteboard;process_flow,rail,false,false,MISSING,yes,src/components/MyWork/mindmap/CanvasLeftToolbar.tsx:859 (handlePointerToggle) + IdeaMapWorkspace.tsx:1090-1091 (mm_select_mode/mm_pan_mode) + useWhiteboardQuickActions.ts:147 + useProcessFlowQuickActions.ts:216 · rail wiring 2026-08-10 (tier A)
idea.ai.expand_map,workspace,mindmap,menu3;rail;panel,true,false,proposal,yes,src/components/MyWork/mindmap/useMindMapQuickActions.ts:761
idea.templates.open,current_view,all,menu3,false,false,MISSING,yes,"src/components/MyWork/IdeaMapWorkspace.tsx setTemplateGalleryOpen (Menu 3 „Szablony"", buildIdeaMenu3Actions) + IdeaTemplateGallery.tsx"
idea.export.open,workspace,all,menu1,false,false,MISSING,yes,"src/components/MyWork/IdeaMapWorkspace.tsx setExportMenuOpen (Menu 3 „Eksport"" + kebab Menu 1) + IdeaExportMenu.tsx"
idea.ai.summarize_map,workspace,mindmap,rail;panel,false,false,MISSING,yes,src/components/MyWork/mindmap/useMindMapQuickActions.ts:931 (delegacja do czatu)
idea.ai.gap_analysis,workspace,mindmap,rail,false,false,MISSING,yes,src/components/MyWork/mindmap/toolbar-popovers/AIActionsPopover.tsx GENERAL_GENERATORS (mm_ai_gap_analysis) → useMindMapQuickActions.ts:883 · rail wiring 2026-08-10 (tier B)
idea.ai.auto_connect,workspace,mindmap,rail,false,false,MISSING,yes,src/components/MyWork/mindmap/toolbar-popovers/AIActionsPopover.tsx GENERAL_GENERATORS (mm_ai_auto_connect) → useMindMapQuickActions.ts:1057 · rail wiring 2026-08-10 (tier B)
idea.ai.find_themes,current_view,whiteboard,rail;panel,true,false,proposal,yes,src/components/MyWork/whiteboard/useWhiteboardQuickActions.ts:21 (AI_ACTION_MAP) + AIActionsPopover.tsx TOOL_GENERATORS (f5d0271992)
idea.ai.name_clusters,current_view,whiteboard,rail;panel,true,false,proposal,yes,src/components/MyWork/whiteboard/useWhiteboardQuickActions.ts:22 (AI_ACTION_MAP)
idea.ai.extract_actions,current_view,whiteboard,rail;panel,true,false,proposal,yes,src/components/MyWork/whiteboard/useWhiteboardQuickActions.ts:25 (AI_ACTION_MAP)
idea.ai.process_analysis,current_view,process_flow,rail;panel;toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/useProcessFlowQuickActions.ts:144 (pf_analyze → runProcessCoach) · REUSED (2026-08-10, N6.4) by ProcessFlowToolbar.tsx overflow „AI Coach"" (prop runProcessCoach → IdeaProcessFlowTool.handleAICoach:2153 → ideaAIGenerator.runProcessCoach → Api.generateIdeaAI(process_coach) → llmService.callStructured — realny LLM zweryfikowany do serwera włącznie)"
idea.ai.table_assistant,current_view,table,rail;panel,false,false,MISSING,yes,src/components/MyWork/table/useTableQuickActions.ts:81
idea.ai.table_categorize,current_view,table,rail;panel;toolbar,false,false,MISSING,yes,"src/components/MyWork/table/useTableQuickActions.ts:85 + TableToolbar.tsx More/Mobile menu ""AI Categorize"" (N10, 2026-08-10)"
idea.view.mm_structure_type,current_view,mindmap,toolbar;panel,true,false,local_stack,yes,"src/components/MyWork/mindmap/toolbar-popovers/StructurePickerPopover.tsx (klik człowieka) → IdeaRecommendationMap.tsx:6880 onSelect, przełączone na dispatch szyny `mm_set_structure` (2026-08-10) zamiast duplikowanej logiki lokalnej — jeden, realny mechanizm, ten sam co MindmapCommandPalette.tsx:330 i useMindMapQuickActions.ts ~L1296."
idea.ai.table_framework,current_view,table,rail;panel;toolbar,false,false,MISSING,yes,"src/components/MyWork/table/useTableQuickActions.ts:82 + TableToolbar.tsx More/Mobile menu ""Framework Generator"" (N10, 2026-08-10)"
idea.view.saved_view_rename,current_view,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx viewContextMenu ""saved_view_rename"" (~L2335) + inline-rename input (~L2223-2243) → useTableViews.ts updateSavedView"
idea.view.saved_view_update,current_view,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx viewContextMenu ""saved_view_update"" (~L2346) → useTableViews.ts updateSavedView"
idea.view.saved_view_delete,current_view,table,context,true,true,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx viewContextMenu ""saved_view_delete"" (~L2364) → useTableViews.ts deleteSavedView"
idea.template.apply,workspace,all,panel,true,false,no_undo,yes,"src/components/MyWork/IdeaTemplateGallery.tsx:2206 (handleApply(template)) + :2217 (handleApply(template, true)) → applyIdeaTemplate (export, ~L1900) + findIdeaTemplate (export, ~L1896)."
idea.column.rename,table_column,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx colContextMenu ""table.column.rename"" (~L3992, setEditingHeaderKey) + inline-rename input nagłówka (~L3745/L3750) → effectiveRenameColumn (naprawione 2026-08-10: usePlatform ? platformIntegration.renameColumn : useTableSchema.ts renameColumn)"
idea.column.sort,table_column,table,context,true,false,no_undo,yes,"src/components/MyWork/IdeaTableTool.tsx colContextMenu ""table.column.sort"" (~L3999) + klik w nagłówek kolumny (~L3760) → effectiveCycleSort (~L518, dwutorowe)"
idea.export.file,workspace,all,panel,false,false,MISSING,yes,"src/components/MyWork/IdeaExportMenu.tsx:838 (handleExport, per-format przyciski) + :1045 (exportJSON fallback button) → NOWY listener `run_export_format` na szynie `idea-workspace-quick-action` (2026-08-10)."
idea.column.hide,table_column,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx colContextMenu ""table.column.hide"" (~L4006) → effectiveToggleColumn (naprawione 2026-08-10: usePlatform ? platformIntegration.toggleColumn : useTableSchema.ts toggleColumn)"
idea.column.delete,table_column,table,context,true,true,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx colContextMenu ""table.column.delete"" (~L4013, now behind window.confirm) → effectiveDeleteColumn (naprawione 2026-08-10: usePlatform ? platformIntegration.deleteColumn (serwerowe deleteField) : useTableSchema.ts deleteColumn)"
table.row.edit,table_row,table,context,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx openRowEditPanel (~L977, wołane z rowContextMenu ""table.row.edit"" ~L4081 i tbl_row_edit w useTableQuickActions.ts)"
table.row.note,table_row,table,context,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx openRowNotePanel (~L982, wołane z rowContextMenu ""table.row.note"" ~L4034 i tbl_row_note w useTableQuickActions.ts)"
table.row.duplicate,table_row,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx rowContextMenu ""table.row.duplicate"" (~L4038) → effectiveHandleDuplicateRow (~L514-516) → useTableRows.ts:257 (legacy) / useTablePlatformIntegration.ts:457 (platform)"
table.row.delete,table_row,table,context,true,true,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx rowContextMenu ""table.row.delete"" (~L4046) → effectiveHandleDeleteRow (~L511-513) → useTableRows.ts:236 (legacy) / useTablePlatformIntegration.ts:493 (platform)"
table.rows.bulk_delete,selected_items,table,keyboard;toolbar,true,true,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx onDelete (~L1710, useTableKeyboard) → _bulkDel + TableToolbar.tsx bulk-actions ""Usuń"" (~L1249, N10 2026-08-10)"
idea.canvas.tbl_save,current_view,table,keyboard;toolbar,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx onSave (~L1718, useTableKeyboard) → _save + TableToolbar.tsx przycisk ""Zapisz"" (N10, 2026-08-10)"
table.rows.add_row,current_view,table,keyboard;toolbar,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx onAddRow (~L1719, useTableKeyboard) → _addRow + TableToolbar.tsx przycisk ""Row"" (N10, 2026-08-10)"
idea.cell.copy,table_cell,table,context,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx cellContextMenu ""table.cell.copy"" (~L4102-4113)"
idea.ai.table_schema_propose,current_view,table,panel,false,false,MISSING,yes,"src/components/MyWork/table/ChatToSchemaPanel.tsx handleSubmit (~L396-420, Send button ~L707 + Enter-to-send ~L693) → useSchemaProposal.ts generateProposal/refineProposal → TablePlatformApi.generateSchemaProposal/refineSchemaProposal"
idea.cell.paste,table_cell,table,context,true,false,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx cellContextMenu ""table.cell.paste"" (~L4115-4134) → _fieldChange"
idea.cell.expand,table_cell,table,context,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx cellContextMenu ""table.cell.expand"" (~L4136-4150) → handleCellExpand → CellExpandPopover (~L4264-4298)"
idea.cell.clear,table_cell,table,context,true,true,local_stack,yes,"src/components/MyWork/IdeaTableTool.tsx cellContextMenu ""table.cell.clear"" (~L4152-4172) → _fieldChange(rowId, colKey, '')"
idea.view.table_apply_view,current_view,table,toolbar,false,false,MISSING,yes,src/components/MyWork/table/TableToolbar.tsx zakładka widoku onClick (~L429) → applyView(v)
idea.view.table_save_view,current_view,table,toolbar,true,false,manual_delete,yes,"src/components/MyWork/table/TableToolbar.tsx przycisk ""Zapisz widok"" → dialog → handleSaveView (~L283-289, ~L492) → saveCurrentView"
idea.view.table_platform_saved_view_rename,current_view,table,context,true,false,no_undo,yes,"src/components/MyWork/table/TableToolbar.tsx viewContextMenu ""Rename"" (~L510-522) → ctx.updateSavedView (platformIntegration.updateSavedView)"
