card_slug,evidence_type,mode,filename_template,status
mywork-inbox,light,light,mywork-inbox__light__light__YYYY-MM-DD.png,TODO
mywork-inbox,dark,dark,mywork-inbox__dark__dark__YYYY-MM-DD.png,TODO
mywork-inbox,menu3-active,light,mywork-inbox__menu3-active__light__YYYY-MM-DD.png,TODO
mywork-inbox,selected-row,light,mywork-inbox__selected-row__light__YYYY-MM-DD.png,TODO
mywork-inbox,settings-popover,light,mywork-inbox__settings-popover__light__YYYY-MM-DD.png,TODO
mywork-inbox,degraded-state,light,mywork-inbox__degraded-state__light__YYYY-MM-DD.png,TODO
mywork-tasks,light,light,mywork-tasks__light__light__YYYY-MM-DD.png,TODO
mywork-tasks,dark,dark,mywork-tasks__dark__dark__YYYY-MM-DD.png,TODO
mywork-tasks,menu3-active,light,mywork-tasks__menu3-active__light__YYYY-MM-DD.png,TODO
mywork-tasks,selected-row,light,mywork-tasks__selected-row__light__YYYY-MM-DD.png,TODO
mywork-tasks,settings-popover,light,mywork-tasks__settings-popover__light__YYYY-MM-DD.png,TODO
mywork-tasks,degraded-state,light,mywork-tasks__degraded-state__light__YYYY-MM-DD.png,TODO
interview-all-tabs,light,light,interview-all-tabs__light__light__YYYY-MM-DD.png,TODO
interview-all-tabs,dark,dark,interview-all-tabs__dark__dark__YYYY-MM-DD.png,TODO
interview-all-tabs,menu3-active,light,interview-all-tabs__menu3-active__light__YYYY-MM-DD.png,TODO
interview-all-tabs,selected-row,light,interview-all-tabs__selected-row__light__YYYY-MM-DD.png,TODO
interview-all-tabs,settings-popover,light,interview-all-tabs__settings-popover__light__YYYY-MM-DD.png,TODO
interview-all-tabs,degraded-state,light,interview-all-tabs__degraded-state__light__YYYY-MM-DD.png,TODO
discovery-tools,light,light,discovery-tools__light__light__YYYY-MM-DD.png,TODO
discovery-tools,dark,dark,discovery-tools__dark__dark__YYYY-MM-DD.png,TODO
discovery-tools,menu3-active,light,discovery-tools__menu3-active__light__YYYY-MM-DD.png,TODO
discovery-tools,selected-row,light,discovery-tools__selected-row__light__YYYY-MM-DD.png,TODO
discovery-tools,settings-popover,light,discovery-tools__settings-popover__light__YYYY-MM-DD.png,TODO
discovery-tools,degraded-state,light,discovery-tools__degraded-state__light__YYYY-MM-DD.png,TODO
assessment,light,light,assessment__light__light__YYYY-MM-DD.png,TODO
assessment,dark,dark,assessment__dark__dark__YYYY-MM-DD.png,TODO
assessment,menu3-active,light,assessment__menu3-active__light__YYYY-MM-DD.png,TODO
assessment,selected-row,light,assessment__selected-row__light__YYYY-MM-DD.png,TODO
assessment,settings-popover,light,assessment__settings-popover__light__YYYY-MM-DD.png,TODO
assessment,degraded-state,light,assessment__degraded-state__light__YYYY-MM-DD.png,TODO
execution,light,light,execution__light__light__YYYY-MM-DD.png,TODO
execution,dark,dark,execution__dark__dark__YYYY-MM-DD.png,TODO
execution,menu3-active,light,execution__menu3-active__light__YYYY-MM-DD.png,TODO
execution,selected-row,light,execution__selected-row__light__YYYY-MM-DD.png,TODO
execution,settings-popover,light,execution__settings-popover__light__YYYY-MM-DD.png,TODO
execution,degraded-state,light,execution__degraded-state__light__YYYY-MM-DD.png,TODO
results,light,light,results__light__light__YYYY-MM-DD.png,TODO
results,dark,dark,results__dark__dark__YYYY-MM-DD.png,TODO
results,menu3-active,light,results__menu3-active__light__YYYY-MM-DD.png,TODO
results,selected-row,light,results__selected-row__light__YYYY-MM-DD.png,TODO
results,settings-popover,light,results__settings-popover__light__YYYY-MM-DD.png,TODO
results,degraded-state,light,results__degraded-state__light__YYYY-MM-DD.png,TODO
economics,light,light,economics__light__light__YYYY-MM-DD.png,TODO
economics,dark,dark,economics__dark__dark__YYYY-MM-DD.png,TODO
economics,menu3-active,light,economics__menu3-active__light__YYYY-MM-DD.png,TODO
economics,selected-row,light,economics__selected-row__light__YYYY-MM-DD.png,TODO
economics,settings-popover,light,economics__settings-popover__light__YYYY-MM-DD.png,TODO
economics,degraded-state,light,economics__degraded-state__light__YYYY-MM-DD.png,TODO
meeting,light,light,meeting__light__light__YYYY-MM-DD.png,TODO
meeting,dark,dark,meeting__dark__dark__YYYY-MM-DD.png,TODO
meeting,menu3-active,light,meeting__menu3-active__light__YYYY-MM-DD.png,TODO
meeting,selected-row,light,meeting__selected-row__light__YYYY-MM-DD.png,TODO
meeting,settings-popover,light,meeting__settings-popover__light__YYYY-MM-DD.png,TODO
meeting,degraded-state,light,meeting__degraded-state__light__YYYY-MM-DD.png,TODO
reports-presentations,light,light,reports-presentations__light__light__YYYY-MM-DD.png,TODO
reports-presentations,dark,dark,reports-presentations__dark__dark__YYYY-MM-DD.png,TODO
reports-presentations,menu3-active,light,reports-presentations__menu3-active__light__YYYY-MM-DD.png,TODO
reports-presentations,selected-row,light,reports-presentations__selected-row__light__YYYY-MM-DD.png,TODO
reports-presentations,settings-popover,light,reports-presentations__settings-popover__light__YYYY-MM-DD.png,TODO
reports-presentations,degraded-state,light,reports-presentations__degraded-state__light__YYYY-MM-DD.png,TODO
