atomic_id,table_id,area,checkpoint_id,severity,primary_package,rationale,status,accepted_sha,qa_evidence,disposition,candidate_sha,evidence
T01-KEBAB-K04,T01,KEBAB,K04,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-KEBAB-K14,T01,KEBAB,K14,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-KEBAB-K15,T01,KEBAB,K15,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-KEBAB-K18,T01,KEBAB,K18,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-KEBAB-K19,T01,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-MENU_1_2_3-M16,T01,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-MENU_1_2_3-M26,T01,MENU_1_2_3,M26,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PPM-C01,T01,PPM,C01,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PPM-C16,T01,PPM,C16,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PREVIEW-P08,T01,PREVIEW,P08,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PREVIEW-P13,T01,PREVIEW,P13,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PREVIEW-P25,T01,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-PREVIEW-P30,T01,PREVIEW,P30,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T01-TABLE-T09,T01,TABLE,T09,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-KEBAB-K15,T02,KEBAB,K15,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-KEBAB-K18,T02,KEBAB,K18,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-KEBAB-K19,T02,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-KEBAB-K20,T02,KEBAB,K20,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-MENU_1_2_3-M26,T02,MENU_1_2_3,M26,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-PPM-C12,T02,PPM,C12,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-PREVIEW-P01,T02,PREVIEW,P01,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-PREVIEW-P03,T02,PREVIEW,P03,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T02-TABLE-T27,T02,TABLE,T27,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-KEBAB-K18,T03,KEBAB,K18,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-KEBAB-K19,T03,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-KEBAB-K24,T03,KEBAB,K24,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-MENU_1_2_3-M16,T03,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-MENU_1_2_3-M26,T03,MENU_1_2_3,M26,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-PPM-C12,T03,PPM,C12,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-PREVIEW-P25,T03,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-PREVIEW-P30,T03,PREVIEW,P30,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T03-TABLE-T01,T03,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-KEBAB-K01,T04,KEBAB,K01,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-KEBAB-K05,T04,KEBAB,K05,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-MENU_1_2_3-M25,T04,MENU_1_2_3,M25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-PPM-C01,T04,PPM,C01,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-PPM-C16,T04,PPM,C16,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-PREVIEW-P01,T04,PREVIEW,P01,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-PREVIEW-P03,T04,PREVIEW,P03,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T04-TABLE-T25,T04,TABLE,T25,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
