plik|linia|typ|obiekt|istnieje_na_stagingu
604_tools_missing_known_tools_library.sql|12|COLUMN|tools.tool_type|TAK
604_tools_missing_known_tools_library.sql|15|COLUMN|tools.library_category|TAK
604_tools_missing_known_tools_library.sql|18|COLUMN|tools.library_content_translations|TAK
604_tools_missing_known_tools_library.sql|21|COLUMN|tools.tags_json|TAK
604_tools_missing_known_tools_library.sql|29|DML|INSERT INTO tools|n/d(DML)
604_tools_missing_known_tools_library.sql|324|DML|INSERT INTO kb_categories|n/d(DML)
604_tools_missing_known_tools_library.sql|328|DML|INSERT INTO kb_category_translations|n/d(DML)
604_tools_missing_known_tools_library.sql|336|DML|INSERT INTO kb_articles|n/d(DML)
604_tools_missing_known_tools_library.sql|354|DML|INSERT INTO kb_article_translations|n/d(DML)
617_generic_assessment_reports_pathc_patch.sql|7|TABLE|generic_assessment_reports|TAK
617_generic_assessment_reports_pathc_patch.sql|24|INDEX|idx_generic_org|TAK
617_generic_assessment_reports_pathc_patch.sql|27|COLUMN|generic_assessment_reports.original_name|TAK
617_generic_assessment_reports_pathc_patch.sql|28|COLUMN|generic_assessment_reports.mime_type|TAK
617_generic_assessment_reports_pathc_patch.sql|29|COLUMN|generic_assessment_reports.upload_status|TAK
617_generic_assessment_reports_pathc_patch.sql|32|COLUMN|generic_assessment_reports.text_content|TAK
617_generic_assessment_reports_pathc_patch.sql|33|COLUMN|generic_assessment_reports.metadata_json|TAK
617_generic_assessment_reports_pathc_patch.sql|36|COLUMN|generic_assessment_reports.file_type|TAK
617_generic_assessment_reports_pathc_patch.sql|37|COLUMN|generic_assessment_reports.processing_status|TAK
617_generic_assessment_reports_pathc_patch.sql|38|COLUMN|generic_assessment_reports.processing_error|TAK
617_generic_assessment_reports_pathc_patch.sql|39|COLUMN|generic_assessment_reports.ocr_text|TAK
617_generic_assessment_reports_pathc_patch.sql|40|COLUMN|generic_assessment_reports.ai_key_findings|TAK
617_generic_assessment_reports_pathc_patch.sql|41|COLUMN|generic_assessment_reports.linked_initiatives|TAK
617_generic_assessment_reports_pathc_patch.sql|44|COLUMN|generic_assessment_reports.created_at|TAK
617_generic_assessment_reports_pathc_patch.sql|45|COLUMN|generic_assessment_reports.updated_at|TAK
618_tools_missing_12_consulting_tools.sql|11|COLUMN|tools.tool_type|TAK
618_tools_missing_12_consulting_tools.sql|14|COLUMN|tools.library_category|TAK
618_tools_missing_12_consulting_tools.sql|17|COLUMN|tools.library_content_translations|TAK
618_tools_missing_12_consulting_tools.sql|20|COLUMN|tools.tags_json|TAK
618_tools_missing_12_consulting_tools.sql|28|DML|INSERT INTO tools|n/d(DML)
618_tools_missing_12_consulting_tools.sql|583|DML|INSERT INTO kb_categories|n/d(DML)
618_tools_missing_12_consulting_tools.sql|587|DML|INSERT INTO kb_category_translations|n/d(DML)
618_tools_missing_12_consulting_tools.sql|595|DML|INSERT INTO kb_articles|n/d(DML)
618_tools_missing_12_consulting_tools.sql|619|DML|INSERT INTO kb_article_translations|n/d(DML)
625_v4_task_hierarchy_unified.sql|8|COLUMN|initiatives.program_id|TAK
625_v4_task_hierarchy_unified.sql|9|COLUMN|initiatives.workstream_id|TAK
625_v4_task_hierarchy_unified.sql|10|INDEX|idx_initiatives_program|TAK
625_v4_task_hierarchy_unified.sql|13|COLUMN|tasks.workstream_id|TAK
625_v4_task_hierarchy_unified.sql|14|COLUMN|tasks.list_id|TAK
625_v4_task_hierarchy_unified.sql|16|DML|UPDATE tasks|n/d(DML)
625_v4_task_hierarchy_unified.sql|17|INDEX|idx_tasks_list|TAK
656_v4_scim_enhanced.sql|3|COLUMN|users.scim_external_id|NIE
656_v4_scim_enhanced.sql|4|COLUMN|users.scim_provisioned|NIE
656_v4_scim_enhanced.sql|5|COLUMN|users.scim_last_sync_at|NIE
656_v4_scim_enhanced.sql|7|INDEX|idx_users_scim_external_id|NIE
656_v4_scim_enhanced.sql|9|TABLE|scim_group_mappings|TAK
656_v4_scim_enhanced.sql|22|INDEX|idx_scim_group_mappings_org|TAK
656_v4_scim_enhanced.sql|23|INDEX|idx_scim_group_mappings_external|TAK
656_v4_scim_enhanced.sql|25|COLUMN|scim_group_mappings.auto_sync|TAK
656_v4_scim_enhanced.sql|26|COLUMN|scim_group_mappings.last_synced_at|TAK
656_v4_scim_enhanced.sql|27|COLUMN|scim_group_mappings.member_count|TAK
656_v4_scim_enhanced.sql|29|TABLE|scim_conflict_log|TAK
656_v4_scim_enhanced.sql|41|INDEX|idx_scim_conflicts_org|NIE
665_v6_interview_templates_foundation.sql|8|TABLE|interview_library_templates|TAK
665_v6_interview_templates_foundation.sql|23|TABLE|interview_library_template_questions|TAK
665_v6_interview_templates_foundation.sql|35|INDEX|idx_interview_library_templates_org|TAK
665_v6_interview_templates_foundation.sql|36|INDEX|idx_interview_library_templates_status|TAK
665_v6_interview_templates_foundation.sql|37|INDEX|idx_interview_library_templates_category|TAK
665_v6_interview_templates_foundation.sql|38|INDEX|idx_interview_library_questions_template|TAK
665_v6_interview_templates_foundation.sql|40|COLUMN|interview_library_templates.template_scope|TAK
665_v6_interview_templates_foundation.sql|43|COLUMN|interview_library_templates.audience|TAK
665_v6_interview_templates_foundation.sql|46|COLUMN|interview_library_templates.estimated_time_minutes|TAK
665_v6_interview_templates_foundation.sql|49|COLUMN|interview_library_templates.runtime_mode_default|TAK
665_v6_interview_templates_foundation.sql|52|COLUMN|interview_library_templates.source_template_id|TAK
665_v6_interview_templates_foundation.sql|55|COLUMN|interview_library_template_questions.expected_answer_shape|TAK
665_v6_interview_templates_foundation.sql|58|COLUMN|interview_library_template_questions.allow_voice|TAK
665_v6_interview_templates_foundation.sql|61|COLUMN|interview_library_template_questions.allow_file_upload|TAK
665_v6_interview_templates_foundation.sql|64|COLUMN|interview_library_template_questions.allow_url|TAK
665_v6_interview_templates_foundation.sql|67|COLUMN|interview_library_template_questions.allow_context_note|TAK
