po logowaniu url: https://staging.consultify.ai/chat
ZRZUT 01-chat (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 1)
ZRZUT 02-my-work (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 03-interview (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 04-tools (diakrytyki PL: 2 [UI:0 DANE:2], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 05-assessment (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 06a-initiatives-lista (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 06b-initiatives-podglad (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 07a-execution-realizacje (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 07b-execution-praca (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 07c-execution-zasoby (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 07d-execution-decyzje-ryzyka (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 07e-execution-raporty (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 08-results (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 1, api>=400 z PL: 0)
ZRZUT 09-finance (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 10-materials (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 2)
ZRZUT 11-audits (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 12-meetings (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 13-organization (diakrytyki PL: 46 [UI:0 DANE:28], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 14-admin (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 15-settings (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
ZRZUT 16-partners (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 0, api>=400 z PL: 0)
po logowaniu url: https://staging.consultify.ai/chat
ZRZUT 17-initiatives-member (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 1, api>=400 z PL: 1)
ZRZUT 18-execution-member (diakrytyki PL: 0 [UI:0 DANE:0], bledy konsoli: 7, api>=400 z PL: 1)
GOTOWE. Zrzutow: 23
