"tabela","kolumna","wierszy"
"tasks","organization_id","1269"
"initiative_milestones","organization_id","1053"
"decisions","organization_id","675"
"organization_context_claims","organization_id","648"
"initiatives","organization_id","594"
"users","organization_id","486"
"initiative_dependencies","organization_id","270"
"knowledge_docs","organization_id","270"
"custom_prompts","organization_id","243"
"my_idea_maps","organization_id","216"
"my_ideas","organization_id","216"
"projects","organization_id","189"
"status_reports","organization_id","189"
"interview_sessions","organization_id","135"
"notebook_pages","organization_id","135"
"teams","organization_id","135"
"activity_logs","organization_id","81"
"financial_statement_ingest_runs","organization_id","81"
"financial_statements","organization_id","81"
"interview_insight_findings","organization_id","81"
"interview_insight_handoffs","organization_id","81"
"presentation_decks","organization_id","81"
"tool_sessions","organization_id","81"
"closure_delivery_receipts","organization_id","54"
"initiative_benefits","organization_id","54"
"results_writer_observations","organization_id","54"
"rollout_kpis","organization_id","54"
"v8_output_artifacts","organization_id","54"
"v8_output_exports","organization_id","54"
"analysis_financials","organization_id","27"
"assessment_reports","organization_id","27"
"assessments","organization_id","27"
"digitization_analyses","organization_id","27"
"financial_analyses","organization_id","27"
"financial_models","organization_id","27"
"financial_statement_packs","organization_id","27"
"interview_insights","organization_id","27"
"organization_context_items","organization_id","27"
"organization_context_snapshots","organization_id","27"
"rollout_changes","organization_id","27"
"rollout_closures","organization_id","27"
"rollout_risks","organization_id","27"
