"tabela","kolumna","wierszy"
"organization_context_claims","organization_id","34210"
"organization_context_items","organization_id","1522"
"organization_context_snapshots","organization_id","1434"
"knowledge_doc_versions","organization_id","222"
"wave6_context_ledger","organization_id","143"
"ie_aggregate_state","organization_id","123"
"project_role_templates","organization_id","120"
"my_ideas","organization_id","102"
"ie_audit_events","organization_id","81"
"ie_command_receipts","organization_id","80"
"partner_commission_transactions","organization_id","80"
"ie_outbox_events","organization_id","79"
"radar_ranked_signals","organization_id","54"
"partner_attributions","organization_id","48"
"conversion_events","organization_id","44"
"document_studio_templates","organization_id","44"
"ie_aggregate_relations","organization_id","39"
"ai_chat_runs","organization_id","31"
"wave6_context_snapshots","organization_id","29"
"conversations","organization_id","27"
"ai_cost_usage","organization_id","25"
"ai_quality_metrics","organization_id","25"
"v8_artifact_origin_links","organization_id","24"
"v8_output_artifacts","organization_id","24"
"my_idea_maps","organization_id","21"
"ie_initiative_card_versions","organization_id","11"
"knowledge_graph_entities","organization_id","11"
"ie_governance_role_bindings","organization_id","9"
"ie_governance_policies","organization_id","7"
"ai_actions","organization_id","6"
"ai_run_ledger","organization_id","6"
"teresa_proposals","organization_id","6"
"interview_sessions","organization_id","5"
"security_policies","organization_id","4"
"collab_sessions","organization_id","3"
"interview_insight_findings","organization_id","3"
"interview_insight_handoffs","organization_id","3"
"initiative_candidates","organization_id","2"
"rollout_kpis","organization_id","2"
"assessment_reports","organization_id","1"
"financial_models","organization_id","1"
"organization_context_processing_jobs","organization_id","1"
"organization_context_storage_events","organization_id","1"
"tp_bases","organization_id","1"
"user_radar_profiles","organization_id","1"
