tabela,wierszy,zapytan_sql_server_src,wzmianek_slownych_server_src,zapytan_server_scripts,zapytan_migrations,wzmianek_frontend,wzmianek_scripts,pierwszy_plik_sql_server_src
organization_context_claims,36836,2,3,1,2,0,0,server/src/jobs/orgContextRebuildJob.ts
activity_logs,13472,16,19,0,7,1,0,server/src/middleware/pmoValidation.middleware.ts
audit_log,8190,10,14,1,1,2,0,server/src/controllers/ToolController.ts
collab_sessions,7530,1,3,0,2,0,0,server/src/gateways/ideaCollabWs.gateway.ts
ai_chat_run_events,5554,1,1,0,1,0,0,server/src/services/ai/chatTraceService.ts
organization_context_items,5069,3,4,1,3,0,0,server/src/routes/conversations.routes.ts
financial_model_outputs,4386,4,6,1,1,0,0,server/src/routes/financial-modeling.routes.ts
tool_session_presence,3616,1,2,0,2,0,0,server/src/services/realtimePlatformService.ts
v8_consumer_tool_policies,3509,8,8,0,2,0,0,server/src/scripts/t01InterviewRealDbProof.ts
collab_session_events,3505,1,1,0,1,0,0,server/src/gateways/ideaCollabWs.gateway.ts
v8_tool_catalog,3492,10,11,0,2,0,0,server/src/scripts/t01FinalOutputRealDbProof.ts
wave6_context_ledger,3318,1,1,0,0,0,0,server/src/services/wave6ContextLearningService.ts
user_preferences,2223,16,20,1,3,4,2,server/src/middleware/demoGuard.middleware.ts
v8_output_artifacts,2223,14,25,3,8,1,0,server/src/scripts/t01FinalOutputRealDbProof.ts
v8_artifact_origin_links,2081,9,14,4,7,1,0,server/src/scripts/t01FinalOutputRealDbProof.ts
my_ideas,1823,19,28,7,7,5,3,server/src/realtime/ideaMapAccess.ts
financial_statement_mapping_candidates,1592,5,5,2,1,0,0,server/src/routes/finance-statements.routes.ts
organization_context_snapshots,1503,2,3,0,2,0,0,server/src/jobs/orgContextRebuildJob.ts
organization_members,1445,104,119,41,3,2,17,server/src/middleware/resultsInternalBetaVisibility.middleware.ts
financial_statement_values,1443,17,22,15,5,0,0,server/src/routes/finance-statements.routes.ts
users,1434,213,313,102,48,301,31,server/src/middleware/trialEntryGuard.middleware.ts
kb_surface_bindings,1433,1,1,2,9,0,0,server/src/services/KnowledgeBaseService.ts
conversion_events,1431,4,4,1,3,0,0,server/src/routes/metrics.routes.ts
