ścieżka	wiersz	forma	klucz	status	klasyfikacja_narzędzia
src/components/Initiatives/sections/initiativeCardContract.ts	1160	meta?.env?.[K]	VITE_VF1_INITIATIVE_CARD_CONTRACT	ŻYWY	app
src/components/MyWork/panel/ideaPanel6SectionsFlag.ts	40	meta?.env?.[K]	VITE_IDEA_PANEL_6_SECTIONS	ŻYWY	app
src/utils/agentPlanFlag.ts	41	meta?.env?.[K]	VITE_AGENT_PLAN	ŻYWY	app
src/utils/artifactStudioFlags.ts	94	meta.env?.[K]	VITE_ARTIFACT_STUDIO	ŻYWY	app
src/utils/artifactStudioFlags.ts	94	meta.env?.[K]	VITE_DOCUMENT_STUDIO_V2	ŻYWY	app
src/utils/artifactStudioFlags.ts	94	meta.env?.[K]	VITE_PRESENTATION_STUDIO_V2	ŻYWY	app
src/utils/artifactStudioFlags.ts	94	meta.env?.[K]	VITE_SPREADSHEET_STUDIO_V2	ŻYWY	app
src/utils/assessmentDocxFlag.ts	17	meta?.env?.[K]	VITE_ASSESSMENT_DOCX_ENABLED	ŻYWY	app
src/utils/assessmentReportViewFlag.ts	31	meta?.env?.[K]	VITE_ASSESSMENT_REPORT_VIEW	ŻYWY	app
src/utils/auditProgramEditStubFlag.ts	45	meta?.env?.[K]	VITE_AUDIT_PROGRAM_EDIT	MARTWY	unreachable
src/utils/auditsFindingsAndReportViewFlag.ts	49	meta?.env?.[K]	VITE_AUDITS_FINDINGS_AND_REPORT_VIEW	ŻYWY	app
src/utils/auditsReportChainFlag.ts	34	meta.env?.[K]	VITE_AUDITS_REPORT_CHAIN	ŻYWY	app
src/utils/auditsScaleAndPolishFlag.ts	44	meta?.env?.[K]	VITE_AUDITS_SCALE_AND_POLISH	ŻYWY	app
src/utils/backToChatButtonFlag.ts	40	meta?.env?.[K]	VITE_BACK_TO_CHAT_BUTTON	ŻYWY	app
src/utils/backToChatShortcutFlag.ts	40	meta?.env?.[K]	VITE_BACK_TO_CHAT_SHORTCUT	ŻYWY	app
src/utils/bargeInToastFlag.ts	36	meta?.env?.[K]	VITE_BARGE_IN_TOAST	ŻYWY	app
src/utils/billingSelfServeFlag.ts	47	meta?.env?.[K]	VITE_BILLING_SELF_SERVE	ŻYWY	app
src/utils/canvasDevDiagnosticsFlag.ts	40	meta?.env?.[K]	VITE_DEV_DIAGNOSTICS	ŻYWY	app
src/utils/canvasNewDocOptionsFlag.ts	41	meta?.env?.[K]	VITE_CANVAS_NEW_DOC_OPTIONS	ŻYWY	app
src/utils/canvasObjectEditBarFlag.ts	60	meta?.env?.[K]	VITE_CANVAS_OBJECT_EDIT_BAR	ŻYWY	app
src/utils/canvasUndoInRailOnlyFlag.ts	45	meta?.env?.[K]	VITE_CANVAS_UNDO_IN_RAIL_ONLY	ŻYWY	app
src/utils/chatSignalsFeedFlag.ts	42	meta?.env?.[K]	VITE_CHAT_SIGNALS_FEED	ŻYWY	app
src/utils/clientReaderFlag.ts	36	meta?.env?.[K]	VITE_CLIENT_READER_ENABLED	ŻYWY	app
src/utils/clientVaultFlag.ts	33	meta?.env?.[K]	VITE_CLIENT_VAULT	ŻYWY	app
