op,element,pole,przed,po
d5,projects.project-dbr77-001,pomiar,DBR77 Transformation Program|ini=7|task=16|created=Tue Dec 23 2025 18:26:46 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.2fbb1e31-6c71-4228-b775-05aae98690d6,pomiar,DBR77 Transformation Program|ini=7|task=19|created=Tue Dec 23 2025 18:26:46 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.f992cfae-9b03-473f-a685-a5f58b5a5119,pomiar,DBR77 Transformation Program|ini=7|task=16|created=Tue Dec 23 2025 18:26:46 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.5061af12-91d7-54b1-b424-9b5d9a715496,pomiar,DBR77 Transformation Program|ini=1|task=0|created=Mon Feb 16 2026 21:37:36 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.655bb4b2-e757-480c-8d8d-df37a552c5bb,pomiar,DBR77 Transformation Program|ini=1|task=1|created=Mon Feb 16 2026 21:37:36 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.b4695c7c-0434-46ac-9cc1-3cd89afc463a,pomiar,DBR77 Transformation Program|ini=1|task=0|created=Mon Feb 16 2026 21:37:36 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.project-dbr77-demo-all-modules,pomiar,DBR77 Demo — All Modules|ini=0|task=0|created=Sun Feb 22 2026 11:29:11 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.6be9d39f-2c73-4ac2-8e1d-e54870d4e872,pomiar,DBR77 Demo — All Modules|ini=0|task=0|created=Sun Feb 22 2026 11:29:11 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.ff83a6dd-b1f0-49e8-8edb-d06a3fc18241,pomiar,DBR77 Demo — All Modules|ini=0|task=1|created=Sun Feb 22 2026 11:29:11 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.04366332-e4b5-4189-b656-72f8298665cf,pomiar,Automated Changeover Optimization|ini=0|task=1|created=Sun Feb 15 2026 17:52:27 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.21e06b0c-cf37-4c97-ae81-256a6950d691,pomiar,Automated Changeover Optimization|ini=1|task=1|created=Sun Feb 15 2026 17:52:27 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
d5,projects.923bc369-e684-4aa6-a598-f69746fe719a,pomiar,Automated Changeover Optimization|ini=0|task=0|created=Sun Feb 15 2026 17:52:27 GMT+0100 (Central European Standard Time),(tylko pomiar — decyzja właściciela)
