op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.proposal-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_aggregate_state.initiative-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.725,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.726,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.727,istnieje,TAK,NIE (usunięto)
d6,ie_audit_events.728,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.proposal-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_command_receipts.initiative-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.722,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.723,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.724,istnieje,TAK,NIE (usunięto)
d6,ie_outbox_events.725,istnieje,TAK,NIE (usunięto)
d6,initiative_candidates.proposal-w1a-probe-1789074241825,istnieje,TAK,NIE (usunięto)
