op,element,pole,przed,po
d6,"ie_aggregate_relations.{""organization_id"":""468b234c-66c4-54e1-b",istnieje,TAK,
d6,ie_aggregate_state.proposal-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_aggregate_state.initiative-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_audit_events.713,istnieje,TAK,
d6,ie_audit_events.714,istnieje,TAK,
d6,ie_audit_events.715,istnieje,TAK,
d6,ie_audit_events.716,istnieje,TAK,
d6,ie_command_receipts.proposal-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_command_receipts.initiative-w1a-probe-1789045732474,istnieje,TAK,
d6,ie_outbox_events.710,istnieje,TAK,
d6,ie_outbox_events.711,istnieje,TAK,
d6,ie_outbox_events.712,istnieje,TAK,
d6,ie_outbox_events.713,istnieje,TAK,
d6,initiative_candidates.proposal-w1a-probe-1789045732474,istnieje,TAK,
