public	access_code_usage	code_id	public	access_codes	id
public	access_code_usage	user_id	public	users	id
public	access_codes	created_by	public	users	id
public	access_codes	organization_id	public	organizations	id
public	access_requests	organization_id	public	organizations	id
public	access_requests	reviewed_by	public	users	id
public	account_deletion_request_receipts	organization_id	public	organizations	id
public	account_deletion_request_receipts	request_id	public	gdpr_requests	id
public	account_deletion_request_receipts	user_id	public	users	id
public	account_deletion_requests	user_id	public	users	id
public	active_sessions	user_id	public	users	id
public	activity_logs	organization_id	public	organizations	id
public	activity_logs	user_id	public	users	id
public	adkar_assessments	organization_id	public	organizations	id
public	adkar_assessments	project_id	public	projects	id
public	admin_audit_logs	admin_id	public	users	id
public	admin_audit_logs	organization_id	public	organizations	id
public	admin_audit_logs	reviewed_by	public	users	id
public	admin_dashboards	organization_id	public	organizations	id
public	admin_iam_invitation_commands	actor_id	public	users	id
public	admin_iam_invitation_commands	invitation_id	public	invitations	id
public	admin_iam_invitation_commands	organization_id	public	organizations	id
public	admin_iam_invitation_delivery_attempts	command_id	public	admin_iam_invitation_commands	id
public	admin_iam_invitation_delivery_attempts	invitation_id	public	invitations	id
public	admin_iam_invitation_delivery_attempts	organization_id	public	organizations	id
public	admin_iam_job_events	job_id	public	admin_iam_jobs	id
public	admin_iam_member_commands	actor_id	public	users	id
public	admin_iam_member_commands	organization_id	public	organizations	id
public	admin_iam_member_commands	target_user_id	public	users	id
public	admin_report_executions	executed_by	public	users	id
public	admin_saved_reports	organization_id	public	organizations	id
public	admin_sessions	admin_user_id	public	users	id
public	ai_ab_assignments	experiment_id	public	ai_ab_experiments	id
public	ai_ab_experiments	prompt_id	public	ai_system_prompts	id
public	ai_ab_outcomes	experiment_id	public	ai_ab_experiments	id
public	ai_agent_audit_reviews	run_id	public	ai_agent_audit_runs	id
public	ai_agent_job_attempts	receipt_id	public	ai_agent_job_receipts	receipt_id
public	ai_agent_plan_steps	plan_id	public	ai_agent_plans	id
public	ai_budgets	organization_id	public	organizations	id
public	ai_chat_run_events	run_id	public	ai_chat_runs	id
public	ai_contexts	organization_id	public	organizations	id
public	ai_experiment_variants	experiment_id	public	ai_experiments	id
public	ai_experiments	organization_id	public	organizations	id
public	ai_feedback	organization_id	public	organizations	id
public	ai_feedback	user_id	public	users	id
public	ai_playbook_runs	initiated_by	public	users	id
