public	access_code_usage	public	access_codes	code_id	id	CASCADE
public	access_code_usage	public	users	user_id	id	CASCADE
public	access_codes	public	organizations	organization_id	id	CASCADE
public	access_codes	public	users	created_by	id	CASCADE
public	access_requests	public	organizations	organization_id	id	CASCADE
public	access_requests	public	users	reviewed_by	id	SET NULL
public	account_deletion_request_receipts	public	gdpr_requests	request_id	id	RESTRICT
public	account_deletion_request_receipts	public	organizations	organization_id	id	RESTRICT
public	account_deletion_request_receipts	public	users	user_id	id	RESTRICT
public	account_deletion_requests	public	users	user_id	id	NO ACTION
public	active_sessions	public	users	user_id	id	CASCADE
public	activity_logs	public	organizations	organization_id	id	CASCADE
public	activity_logs	public	users	user_id	id	SET NULL
public	adkar_assessments	public	organizations	organization_id	id	CASCADE
public	adkar_assessments	public	projects	project_id	id	CASCADE
public	admin_audit_logs	public	organizations	organization_id	id	CASCADE
public	admin_audit_logs	public	users	admin_id	id	NO ACTION
public	admin_audit_logs	public	users	reviewed_by	id	NO ACTION
public	admin_dashboards	public	organizations	organization_id	id	CASCADE
public	admin_iam_invitation_commands	public	invitations	invitation_id	id	NO ACTION
public	admin_iam_invitation_commands	public	organizations	organization_id	id	CASCADE
public	admin_iam_invitation_commands	public	users	actor_id	id	NO ACTION
public	admin_iam_invitation_delivery_attempts	public	admin_iam_invitation_commands	command_id	id	CASCADE
public	admin_iam_invitation_delivery_attempts	public	invitations	invitation_id	id	CASCADE
public	admin_iam_invitation_delivery_attempts	public	organizations	organization_id	id	CASCADE
public	admin_iam_job_events	public	admin_iam_jobs	job_id	id	RESTRICT
public	admin_iam_member_commands	public	organizations	organization_id	id	CASCADE
public	admin_iam_member_commands	public	users	actor_id	id	NO ACTION
public	admin_iam_member_commands	public	users	target_user_id	id	NO ACTION
public	admin_report_executions	public	users	executed_by	id	SET NULL
public	admin_saved_reports	public	organizations	organization_id	id	CASCADE
public	admin_sessions	public	users	admin_user_id	id	CASCADE
public	ai_ab_assignments	public	ai_ab_experiments	experiment_id	id	NO ACTION
public	ai_ab_experiments	public	ai_system_prompts	prompt_id	id	NO ACTION
public	ai_ab_outcomes	public	ai_ab_experiments	experiment_id	id	NO ACTION
public	ai_agent_audit_reviews	public	ai_agent_audit_runs	run_id	id	CASCADE
public	ai_agent_job_attempts	public	ai_agent_job_receipts	receipt_id	receipt_id	NO ACTION
public	ai_agent_plan_steps	public	ai_agent_plans	plan_id	id	CASCADE
public	ai_budgets	public	organizations	organization_id	id	CASCADE
public	ai_chat_run_events	public	ai_chat_runs	run_id	id	NO ACTION
public	ai_contexts	public	organizations	organization_id	id	CASCADE
public	ai_experiment_variants	public	ai_experiments	experiment_id	id	CASCADE
public	ai_experiments	public	organizations	organization_id	id	CASCADE
public	ai_feedback	public	organizations	organization_id	id	CASCADE
public	ai_feedback	public	users	user_id	id	SET NULL
public	ai_playbook_runs	public	ai_playbook_templates	template_id	id	CASCADE
public	ai_playbook_runs	public	organizations	organization_id	id	CASCADE
public	ai_playbook_runs	public	users	initiated_by	id	SET NULL
public	ai_playbook_template_versions	public	ai_playbook_templates	template_id	id	CASCADE
public	ai_playbook_templates	public	organizations	organization_id	id	CASCADE
public	ai_policies	public	organizations	organization_id	id	CASCADE
public	ai_prompt_versions	public	ai_system_prompts	prompt_id	id	CASCADE
public	ai_purpose_assignments	public	ai_purposes	purpose	purpose	CASCADE
public	ai_style_learning_patterns	public	organizations	organization_id	id	SET NULL
public	ai_style_learning_patterns	public	users	user_id	id	CASCADE
public	ai_usage_logs	public	organizations	organization_id	id	CASCADE
public	ai_usage_logs	public	users	user_id	id	SET NULL
public	ai_user_style_profiles	public	organizations	organization_id	id	SET NULL
public	ai_user_style_profiles	public	users	user_id	id	CASCADE
public	analysis_financial_scenarios	public	digitization_analyses	analysis_id	id	CASCADE
public	analysis_financials	public	digitization_analyses	analysis_id	id	CASCADE
public	analysis_financials	public	initiatives	initiative_id	id	SET NULL
public	analytics_dashboards	public	users	created_by	id	SET NULL
public	analytics_report_executions	public	analytics_reports	report_id	id	CASCADE
public	analytics_report_executions	public	users	executed_by	id	SET NULL
public	analytics_reports	public	users	created_by	id	SET NULL
public	api_key_usage	public	api_keys	api_key_id	id	CASCADE
public	api_keys	public	api_keys	rotated_from_id	id	SET NULL
public	api_keys	public	organizations	organization_id	id	CASCADE
public	api_keys	public	users	created_by	id	SET NULL
