identity	snapshot_rows
public.account_deletion_request_receipts	0
public.ai_audit_log	0
public.ai_cost_tracking	0
public.ai_data_access_log	0
public.ai_deep_thinking_confirms	0
public.ai_eval_golden_sets	0
public.ai_feature_control	0
public.ai_learned_patterns	0
public.ai_learning_interactions	0
public.ai_learning_metrics	0
public.ai_nudge_log	0
public.ai_observability_snapshots	0
public.ai_organization_settings	0
public.ai_rate_limits	0
public.assessment_responses	0
public.audit_findings	0
public.backup_records	0
public.benefits_reports	0
public.benefit_targets	0
public.billing_credits	0
public.billing_disputes	0
public.billing_email_queue	0
public.billing_notification_preferences	0
public.billing_refunds	0
public.billing_usage_events	0
public.budget_alerts	0
public.budget_line_items	0
public.budget_thresholds	0
public.budget_transactions	0
public.case_workspace_node_run_attempts	0
public.case_workspace_node_runs	0
public.case_workspace_runs	0
public.checkout_sessions	0
public.client_context	0
public.compliance_records	0
public.consent_records	0
public.custom_statuses	0
public.data_deletion_log	0
public.data_subject_requests	0
public.dbr77_processes	0
public.dbr77_workstations	0
public.decision_votes	0
public.deliverable_bundle_versions	0
public.domain_verifications	0
public.dsar_activity_log	0
public.dunning_states	0
public.email_sender_verifications	0
public.enterprise_feature_flags	0
public.facility_users	0
public.feedback_status_history	0
public.finance_analysis_benchmarks	0
public.finance_baseline_backtest_line_results	0
public.finance_baseline_backtest_runs	0
public.finance_export_evidence_items	0
public.finance_export_manifests	0
public.finance_export_manifest_sources	0
public.finance_legal_holds	0
public.finance_periods	0
public.finance_prediction_conflict_resolutions	0
public.finance_retention_policies	0
public.finance_stmt_fx	0
public.finance_stmt_source_evidence	0
public.financial_analysis_findings	0
public.financial_model_version_diffs	0
public.financial_statement_templates	0
public.framework_import_logs	0
public.framework_score_history	0
public.initiative_budgets	0
public.initiative_feature_flags	0
public.initiative_gate_ai_events	0
public.initiative_linked_items	0
public.legacy_task_cutover_step_ledger	0
public.legal_holds	0
public.management_report_recipients	0
public.method_evidence	0
public.mfa_attempts	0
public.mobile_devices	0
public.mobile_preferences	0
public.multi_framework_initiatives	0
public.multi_framework_reports	0
public.notification_digest_queue	0
public.offline_sync_queue	0
public.organization_context_upload_receipts	0
public.organization_facilities	0
public.organization_llm_settings	0
public.partner_activity_log	0
public.partner_commissions	0
public.partner_economics_policy_events	0
public.partner_invoices	0
public.partner_licenses	0
public.partner_owner_binding_receipts	0
public.partner_projects	0
public.pdf_imports	0
public.presentation_template_governance_events	0
public.project_role_overrides	0
public.proration_records	0
public.push_notification_log	0
public.report_blocks	0
public.report_comments	0
public.report_edit_history	0
public.report_snapshots	0
public.retention_policies	0
public.rvn_kpi_recovery_backfill_receipts	0
public.sandbox_activity	0
public.sandbox_exports	0
public.sandbox_projects	0
public.security_settings	0
public.siri_dimension_scores	0
public.siri_prioritisation_snapshots	0
public.sso_login_attempts	0
public.studio_ai_sessions	0
public.studio_comments	0
public.studio_templates	0
public.subscription_state_history	0
public.task_status_transitions	0
public.tp_notifications	0
public.user_achievements	0
public.user_appearance_preferences	0
public.user_collaboration_preferences	0
public.user_consents	0
public.user_experiments	0
public.user_points_ledger	0
public.user_productivity_preferences	0
public.user_work_preferences	0
public.v10_connector_sessions	0
public.v10_learning_feedback	0
public.v10_learning_incidents	0
public.v10_learning_retention_previews	0
public.v10_learning_stewardship_queue	0
public.v10_onboarding_events	0
public.v10_onboarding_sessions	0
public.v8_calendar_items_extended_itemtype	0
public.v8_finance_document_ingestions__w18	0
public._v8_flag_backup_20260710	0
public.v8_mindmap_ai_proposals	0
public.v8_mindmap_nodes	0
public.v8_shadow_comparisons	0
public.white_label_assets	0
public.white_label_themes	0
public.z139_backup_919_decisions	0
public.z139_backup_919_initiative_kpis	0
public.z139_backup_919_initiatives	0
public.z139_backup_919_interview_insights	0
public.z139_backup_919_notebook_pages	0
public.z139_backup_919_notebooks	0
public.z139_backup_919_raid_items	0
public.z139_backup_919_tasks	0
public.z139_backup_919_work_canvas_drafts	0
