modul	wypisuje_sie_z_koperty	plik
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/correlationId.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/day325.app-error-inventory.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/day325.komunikaty-pl.gateway.pg.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/kpi.routes.test.ts
09_RESULTS	TAK	server/src/routes/resultsVnext/__tests__/kpiDay17.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/kpiDeviation.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/kpiPerspectives.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/kpiScorecard.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/okr.routes.test.ts
09_RESULTS	TAK	server/src/routes/resultsVnext/__tests__/okrCheckInSummaryDay17.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/okrReview.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roi.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiBenefitsRealization.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiCaseApproval.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiEconomicModel.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiFinanceSeam.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiForecastActual.routes.test.ts
09_RESULTS	NIE	server/src/routes/resultsVnext/__tests__/roiPir.routes.test.ts
09_RESULTS	TAK	server/src/routes/resultsVnext/__tests__/search.routes.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/analysis.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/approveRbacGate.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/artifacts-lifecycle-compute.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/baseline.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/comments.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/compare.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/cross-tenant.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/crosscutting.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/day102-valuation-gateway-500.realpg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/day116-approved-valuation-wacc-conflict.realpg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/day23.default-mount-reachability.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/export-import.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/legacy-id-bridge.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/lineage-navigator.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/models.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/mount-proof.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/pkg-b2-cross-tenant.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/prediction.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/saved-views.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/statements.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/valuation-b3-review.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/valuation-cross-tenant.routes.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/valuation-independent-verifier.pg.test.ts
10_FINANCE	NIE	server/src/routes/v8/finance-v2/__tests__/valuation.routes.pg.test.ts
10_FINANCE	NIE	server/src/services/finance/__tests__/financeDigitizationAnalysisCandidateHandoff.pg.test.ts
10_FINANCE	NIE	server/src/services/finance/__tests__/numberNotation.persistence.pg.test.ts
10_FINANCE	NIE	server/src/services/finance/__tests__/numberNotation.realCompanyRegression.test.ts
10_FINANCE	NIE	server/src/services/finance/__tests__/numberNotation.test.ts
