module	state	subtype	set_A_partial_pass	set_B_red_legacy
01_ORGANIZATION	PASS		0	0
02_INTERVIEW	PARTIAL_PASS	RED_LEGACY_7	1	1
03_TOOLS	PARTIAL_PASS	RED_LEGACY_1	1	1
04_ASSESSMENT	PARTIAL_PASS	SERVER_NOT_MEASURED	1	0
05_INITIATIVES	NOT_MEASURED	RED_LEGACY_1_CONFIRMED	0	1
06_EXECUTION	NOT_MEASURED	RED_LEGACY_1_CONFIRMED	0	1
07_MY_WORK_AGENT	PARTIAL_PASS	RED_LEGACY_2_PLUS_RED_NEW_1	1	1
08_MEETINGS	NOT_MEASURED	RED_LEGACY_1_CONFIRMED	0	1
09_RESULTS	PARTIAL_PASS	SERVER_NOT_MEASURED	1	0
10_FINANCE	PARTIAL_PASS	RED_LEGACY_1	1	1
11_MATERIALS	PARTIAL_PASS	RED_LEGACY_2	1	1
12_AUDITS	PARTIAL_PASS	SERVER_NOT_MEASURED	1	0
13_CHAT	PASS		0	0
14_ADMIN	PARTIAL_PASS	RED_LEGACY_7	1	1
15_SETTINGS	PARTIAL_PASS	SERVER_NOT_MEASURED	1	0
16_PARTNER	NOT_MEASURED	RED_LEGACY_2_CONFIRMED	0	1
