admin.ai.configuration-versions.columns.model	"Model"	"Model"
admin.ai.configuration-versions.columns.prompt	"Prompt"	"Prompt"
admin.ai.configuration-versions.columns.runtime	"Runtime"	"Runtime"
admin.aiControlCenter.accessLimits.tiers.premium.name	"Premium"	"Premium"
admin.aiControlCenter.auditCompliance.exportJson	"JSON"	"JSON"
admin.aiControlCenter.llmView.test	"Test"	"Test"
admin.aiControlCenter.modelsProviders.columns.model	"Model"	"Model"
admin.aiControlCenter.modelsProviders.test	"Test"	"Test"
admin.aiControlCenter.orgAISettings.levels.autopilot.title	"Autopilot"	"Autopilot"
admin.aiControlCenter.policyGovernance.levels.autopilot.title	"Autopilot"	"Autopilot"
admin.aiQuality.feedback.title	"Feedback"	"Feedback"
admin.aiQuality.metrics.total	"Feedback"	"Feedback"
admin.audit.export-history.columns.format	"Format"	"Format"
admin.billing.plan-history.systemActor	"System"	"System"
admin.billing.seats-licences.systemActor	"System"	"System"
admin.command.organization-defaults.finance.waccLabel	"WACC"	"WACC"
admin.health.sla-slo.title	"SLA / SLO"	"SLA / SLO"
admin.security.break-glass.title	"Break-glass"	"Break-glass"
admin.security.riskSummary.queue.status	"Status: {{status}}"	"Status: {{status}}"
admin.security.security-alerts.columns.ip	"IP"	"IP"
admin.security.sessions.columns.ip	"IP"	"IP"
agentAudit.qualityStatus.FAIL	"FAIL"	"FAIL"
agentAudit.qualityStatus.PASS	"PASS"	"PASS"
agentPlan.canvas.kind.aiTeresa	"AI / Teresa"	"AI / Teresa"
agentPlan.catalog.group.ai.label	"AI / Teresa"	"AI / Teresa"
agentPlan.catalog.int-sharepoint.label	"SharePoint"	"SharePoint"
agentPlan.catalog.int-teams.label	"Microsoft Teams"	"Microsoft Teams"
agentPlan.launcher.planTitlePrefix	"Agent"	"Agent"
agentPlan.section.plan	"Plan"	"Plan"
aiChat.chatMenuTitle	"Menu"	"Menu"
aiChat.composer.commands.agents.label	"Multi-agent"	"Multi-agent"
aiChat.folder	"folder"	"folder"
aiChat.homeCards.finance.m16.monteCarlo.addDriver	"+ driver"	"+ driver"
aiChat.homeCards.finance.m16.monteCarlo.max	"Max"	"Max"
aiChat.homeCards.finance.m16.monteCarlo.min	"Min"	"Min"
aiChat.homeCards.finance.m16.monteCarlo.p10	"P10"	"P10"
aiChat.homeCards.finance.m16.monteCarlo.p90	"P90"	"P90"
aiChat.homeCards.finance.m16.monteCarlo.probPositive	"P(NPV > 0)"	"P(NPV > 0)"
aiChat.homeCards.finance.m16.monteCarlo.seed	"Seed"	"Seed"
