test_file	rc	passed	failed	seconds	base_blob	candidate_blob	base_relation
src/__tests__/superadmin/SSOConfigurationView.test.tsx	0	2	0	1.93	e0ce729825c9d46e432a4304890b07f12805380f	e0ce729825c9d46e432a4304890b07f12805380f	IDENTICAL
src/views/superadmin/__tests__/OrganizationsView.deleteApprovedOut.test.tsx	0	2	0	1.72	d0446cc855497ec2a43743fd0498d84229c2ccf6	d0446cc855497ec2a43743fd0498d84229c2ccf6	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.day15.test.tsx	0	7	0	1.9	b52cf2c99d9838a8483741240c6bd78829d75fee	b52cf2c99d9838a8483741240c6bd78829d75fee	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.i18n.day15.test.tsx	0	2	0	1.56	7b20543c89f116e41fefe4d0251edb0d9f721257	7b20543c89f116e41fefe4d0251edb0d9f721257	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.test.tsx	0	11	0	2.48	21b6fbb24d76e986eb80e4b9a67e360469f15180	21b6fbb24d76e986eb80e4b9a67e360469f15180	IDENTICAL
src/views/superadmin/__tests__/SystemModule.platformOperations.test.ts	0	2	0	1.46	a087472fce5ae421593a977302cf4998a5cb9415	a087472fce5ae421593a977302cf4998a5cb9415	IDENTICAL
src/views/superadmin/__tests__/superadminI18nDebt.w73.test.ts	0	4	0	1.46	ABSENT	a90db15dd59f3c50ba2ecf542392f11c08842ae4	K2_OWNED_NEW
tests/components/SuperAdmin/CustomerCommunicationView.test.tsx	0	2	0	1.7	212a9cd0eb7e49813d8872820c960f681acd8d0a	212a9cd0eb7e49813d8872820c960f681acd8d0a	IDENTICAL
tests/components/SuperAdmin/CustomersModule.test.tsx	0	2	0	2.89	dc109ab048a20d4d0491bb5f333ba8d0657bbaeb	dc109ab048a20d4d0491bb5f333ba8d0657bbaeb	IDENTICAL
tests/components/SuperAdmin/SuperAdminFeedbackAnalyticsView.error.contract.test.tsx	0	3	0	1.48	71cab7e8a4de113eb1ea639a0089bb533c2f5103	71cab7e8a4de113eb1ea639a0089bb533c2f5103	IDENTICAL
tests/components/SuperAdmin/SuperAdminFeedbackView.deeplink-query.contract.test.tsx	0	5	0	2.74	81e2b17f51e64009506a11bdb6cb379081353a23	81e2b17f51e64009506a11bdb6cb379081353a23	IDENTICAL
tests/components/SuperAdmin/WorkerAnalyticsDashboard.anna-funnel.test.tsx	0	3	0	1.38	3d52bfb66f4992d782e9ea76b0c065139bbecfba	3d52bfb66f4992d782e9ea76b0c065139bbecfba	IDENTICAL
