test_file	rc	passed_assertions	failed_assertions	failed_suite_before_collection	total_assertions	seconds	base_blob	candidate_blob	base_relation
src/__tests__/superadmin/SSOConfigurationView.test.tsx	0	1	0	0	1	1.96	e0ce729825c9d46e432a4304890b07f12805380f	e0ce729825c9d46e432a4304890b07f12805380f	IDENTICAL
src/views/superadmin/__tests__/OrganizationsView.deleteApprovedOut.test.tsx	0	1	0	0	1	1.86	d0446cc855497ec2a43743fd0498d84229c2ccf6	d0446cc855497ec2a43743fd0498d84229c2ccf6	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.day15.test.tsx	0	6	0	0	6	1.47	b52cf2c99d9838a8483741240c6bd78829d75fee	b52cf2c99d9838a8483741240c6bd78829d75fee	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.i18n.day15.test.tsx	0	1	0	0	1	1.18	7b20543c89f116e41fefe4d0251edb0d9f721257	7b20543c89f116e41fefe4d0251edb0d9f721257	IDENTICAL
src/views/superadmin/__tests__/PlatformOperationsView.test.tsx	0	10	0	0	10	1.76	21b6fbb24d76e986eb80e4b9a67e360469f15180	21b6fbb24d76e986eb80e4b9a67e360469f15180	IDENTICAL
src/views/superadmin/__tests__/SystemModule.platformOperations.test.ts	0	1	0	0	1	1.0	a087472fce5ae421593a977302cf4998a5cb9415	a087472fce5ae421593a977302cf4998a5cb9415	IDENTICAL
src/views/superadmin/__tests__/superadminI18nDebt.w73.test.ts	0	3	0	0	3	1.1	ABSENT	a90db15dd59f3c50ba2ecf542392f11c08842ae4	K2_OWNED_NEW
tests/components/SuperAdmin/CustomerCommunicationView.test.tsx	0	1	0	0	1	1.34	212a9cd0eb7e49813d8872820c960f681acd8d0a	212a9cd0eb7e49813d8872820c960f681acd8d0a	IDENTICAL
tests/components/SuperAdmin/CustomersModule.test.tsx	0	1	0	0	1	2.64	dc109ab048a20d4d0491bb5f333ba8d0657bbaeb	dc109ab048a20d4d0491bb5f333ba8d0657bbaeb	IDENTICAL
tests/components/SuperAdmin/SuperAdminFeedbackAnalyticsView.error.contract.test.tsx	0	2	0	0	2	1.34	71cab7e8a4de113eb1ea639a0089bb533c2f5103	71cab7e8a4de113eb1ea639a0089bb533c2f5103	IDENTICAL
tests/components/SuperAdmin/SuperAdminFeedbackView.deeplink-query.contract.test.tsx	0	4	0	0	4	2.95	81e2b17f51e64009506a11bdb6cb379081353a23	81e2b17f51e64009506a11bdb6cb379081353a23	IDENTICAL
tests/components/SuperAdmin/WorkerAnalyticsDashboard.anna-funnel.test.tsx	0	2	0	0	2	1.32	3d52bfb66f4992d782e9ea76b0c065139bbecfba	3d52bfb66f4992d782e9ea76b0c065139bbecfba	IDENTICAL
tests/components/SuperAdmin/components/V8AdminDiagnosticsPanel.test.tsx	0	1	0	0	1	1.12	01d5fad99ca233f8e071c83720f4e038adef779f	01d5fad99ca233f8e071c83720f4e038adef779f	IDENTICAL
tests/components/partner/PartnerEconomicsApprovedOut.ui.test.tsx	1	1	1	0	2	1.84	29e2b48fcdda5cb197d52f13a2c401af90b40c67	29e2b48fcdda5cb197d52f13a2c401af90b40c67	IDENTICAL
tests/components/partner/PartnerProgramConfig.operator-review.test.tsx	0	3	0	0	3	1.53	0dab0979966eeb9928e1c065b5e63c8a2690a813	0dab0979966eeb9928e1c065b5e63c8a2690a813	IDENTICAL
tests/frontend/resource-management-components.test.tsx	1	0	0	1	0	1.02	b121ac1781fa0a5391b16a17ae1af44bc746dff8	b121ac1781fa0a5391b16a17ae1af44bc746dff8	IDENTICAL
tests/integration/routes/settings-admin-superadmin.p31-33.test.ts	1	78	1	0	79	2.61	adb180d1e726ec3f8a53daa8f8c17c54819cb380	adb180d1e726ec3f8a53daa8f8c17c54819cb380	IDENTICAL
tests/unit/components/SuperAdmin/BackupConfigPanel.honesty.test.tsx	0	1	0	0	1	1.19	8c0434fde5da6fc928f1c986fc4e696b92d71298	8c0434fde5da6fc928f1c986fc4e696b92d71298	IDENTICAL
tests/unit/components/SuperAdmin/DataExportPanel.honesty.test.tsx	0	1	0	0	1	1.18	ecbbaecf1f41bf7b1328c79b01f3fb7bb0bac4e6	ecbbaecf1f41bf7b1328c79b01f3fb7bb0bac4e6	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseAnalyticsPanel.honesty.test.tsx	0	4	0	0	4	1.42	49a79d0d418e7ff5124ceea14a46be13466b9d2d	49a79d0d418e7ff5124ceea14a46be13466b9d2d	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseApiManagement.honesty.test.tsx	0	5	0	0	5	1.64	2db92fd2d9037d238ab9f9b12dee7a959f88a365	2db92fd2d9037d238ab9f9b12dee7a959f88a365	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseAuditLog.honesty.test.tsx	0	3	0	0	3	1.41	5eb36b123bf52011665e508d85c7142bca3efb4d	5eb36b123bf52011665e508d85c7142bca3efb4d	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseBackupPanel.honesty.test.tsx	0	9	0	0	9	1.7	be34ceb6a11b182ffab4fe96f5b20be82928dd0a	be34ceb6a11b182ffab4fe96f5b20be82928dd0a	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseBackupPanel.test.tsx	0	3	0	0	3	1.36	fe7911271b822bd5a1e74316d2c767fd048e68d6	fe7911271b822bd5a1e74316d2c767fd048e68d6	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseConfigurationPanel.honesty.test.tsx	0	7	0	0	7	1.65	12fcdc1a3228c86f3e8aac32b0749a8b31941d94	12fcdc1a3228c86f3e8aac32b0749a8b31941d94	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseFeatureFlags.honesty.test.tsx	0	6	0	0	6	1.54	97e531ff4ae14745063692e72e1dc2567579c5d8	97e531ff4ae14745063692e72e1dc2567579c5d8	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseHealthMonitor.honesty.test.tsx	0	5	0	0	5	1.64	c8eb234eb4308df61cddf0ea6f570fdfdda0b3a9	c8eb234eb4308df61cddf0ea6f570fdfdda0b3a9	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseIntegrationsHub.honesty.test.tsx	0	4	0	0	4	1.51	38a804366a76696a636214b0e285de3a5380bf60	38a804366a76696a636214b0e285de3a5380bf60	IDENTICAL
tests/unit/components/SuperAdmin/EnterpriseSecurityPanel.honesty.test.tsx	0	8	0	0	8	1.76	ede288427b0fe3fe413d07da3280d6677187631d	ede288427b0fe3fe413d07da3280d6677187631d	IDENTICAL
tests/unit/components/SuperAdmin/LegalPanel.honesty.test.tsx	0	4	0	0	4	1.51	cd430951d561598244b712a0c7ed125c8f4cad8b	cd430951d561598244b712a0c7ed125c8f4cad8b	IDENTICAL
tests/unit/components/SuperAdmin/components/ABTestingDashboard.honesty.test.tsx	0	2	0	0	2	1.69	8af414d3b8b0972e4ab53f4d40e6f964340c6b2e	8af414d3b8b0972e4ab53f4d40e6f964340c6b2e	IDENTICAL
tests/unit/components/SuperAdmin/components/AI/UsageAnalyticsDashboard.honesty.test.tsx	0	4	0	0	4	1.37	69d375f976d7936ddf637fb10189d452ed3d6202	69d375f976d7936ddf637fb10189d452ed3d6202	IDENTICAL
tests/unit/components/SuperAdmin/components/AICostDashboard.honesty.test.tsx	0	4	0	0	4	1.73	4a813baf0fda250af949ce42235d82ef6f969d29	4a813baf0fda250af949ce42235d82ef6f969d29	IDENTICAL
tests/unit/components/SuperAdmin/components/AIPerformanceDashboard.honesty.test.tsx	0	4	0	0	4	1.53	aac32d5abb0c903b55bc2929768e43550927a06f	aac32d5abb0c903b55bc2929768e43550927a06f	IDENTICAL
tests/unit/components/SuperAdmin/components/PromptManagementUI.honesty.test.tsx	0	5	0	0	5	1.61	ab4802edccf3a64ea3a30fa834ab0cadb68de5c1	ab4802edccf3a64ea3a30fa834ab0cadb68de5c1	IDENTICAL
tests/unit/components/SuperAdmin/components/SLADashboard.honesty.test.tsx	0	4	0	0	4	1.3	7c47593180bf011fa4d7059ceee22417b4c84058	7c47593180bf011fa4d7059ceee22417b4c84058	IDENTICAL
tests/unit/views/superadmin/AIBudgetsView.honesty.test.tsx	0	11	0	0	11	2.25	d2ee6c5cd40e9fe6f199587aaba9031d3483d269	d2ee6c5cd40e9fe6f199587aaba9031d3483d269	IDENTICAL
tests/unit/views/superadmin/AIGovernanceTab.honesty.test.tsx	0	7	0	0	7	1.76	0041b4f02e7f0567ce022625942d62fed6e10654	0041b4f02e7f0567ce022625942d62fed6e10654	IDENTICAL
tests/unit/views/superadmin/AIIntelligenceView.honesty.test.tsx	0	3	0	0	3	1.74	0fb92a3e2ac5634e4b555ee4df4060fb06e8381b	0fb92a3e2ac5634e4b555ee4df4060fb06e8381b	IDENTICAL
tests/unit/views/superadmin/AIUseCaseControlPlane.honesty.test.tsx	0	4	0	0	4	1.34	1dc700e97d6a51f06307b53d569f477070caa191	1dc700e97d6a51f06307b53d569f477070caa191	IDENTICAL
tests/unit/views/superadmin/APIManagementView.webhooks.test.tsx	0	11	0	0	11	2.1	2cefceae23ba395fc56a25cefa436d41eb553963	2cefceae23ba395fc56a25cefa436d41eb553963	IDENTICAL
tests/unit/views/superadmin/AdminAuditLogsView.honesty.test.tsx	0	9	0	0	9	2.22	0177bea364709a901dc4d401aa7ed1288ee57c2b	0177bea364709a901dc4d401aa7ed1288ee57c2b	IDENTICAL
tests/unit/views/superadmin/AdminSessionsView.honesty.test.tsx	0	7	0	0	7	2.11	ac43f3afbb1e934e88cbd775dd1240e75a9a4651	ac43f3afbb1e934e88cbd775dd1240e75a9a4651	IDENTICAL
tests/unit/views/superadmin/ApprovalWorkflowsView.honesty.test.tsx	0	7	0	0	7	2.45	b9b92a7532bcb49024315c7e605b781c13cdba49	b9b92a7532bcb49024315c7e605b781c13cdba49	IDENTICAL
tests/unit/views/superadmin/AuditEventsViewer.honesty.test.tsx	0	4	0	0	4	1.84	db1ed1cefe43aee82ba27c5666f3a4633e53f065	db1ed1cefe43aee82ba27c5666f3a4633e53f065	IDENTICAL
tests/unit/views/superadmin/BillingCenterView.honesty.test.tsx	0	2	0	0	2	1.84	9fd8880aaf836053263d497b84f95f234b6012bb	9fd8880aaf836053263d497b84f95f234b6012bb	IDENTICAL
tests/unit/views/superadmin/BillingCenterView.operationalCosts.test.tsx	0	2	0	0	2	1.5	8175b14560f10ac26a534250e369400f44580aab	8175b14560f10ac26a534250e369400f44580aab	IDENTICAL
tests/unit/views/superadmin/ComplianceCenterView.honesty.test.tsx	0	6	0	0	6	2.13	30c91b53ea43b54121b30cb29efdfbf5532760e8	30c91b53ea43b54121b30cb29efdfbf5532760e8	IDENTICAL
tests/unit/views/superadmin/ComplianceTab.honesty.test.tsx	0	4	0	0	4	1.34	f2c90cc6cd40783cf6a7bc031e5ed08853d81cad	f2c90cc6cd40783cf6a7bc031e5ed08853d81cad	IDENTICAL
