plik:linia	modul	kod	klasa	tekst_pl
server/src/routes/artifactApprovals.routes.ts:74	02 My Work	ARTIFACT_APPROVALS_UNEXPECTED_FAILED	LOKALIZOWANY	Wystąpił błąd serwera
server/src/routes/knowledge.routes.ts:128	04 Tools	VAULT_DOCUMENT_EDIT_FORBIDDEN	LOKALIZOWANY	Brak uprawnień do edycji dokumentu
server/src/routes/knowledge.routes.ts:136	04 Tools	VAULT_DOCUMENT_DELETE_FORBIDDEN	LOKALIZOWANY	Brak uprawnień do usunięcia dokumentu
server/src/routes/knowledge.routes.ts:292	04 Tools	KNOWLEDGE_CANDIDATES_LIST_FAILED	LOKALIZOWANY	Nie udało się pobrać kandydatów wiedzy
server/src/routes/knowledge.routes.ts:327	04 Tools	KNOWLEDGE_CANDIDATE_CREATE_FAILED	LOKALIZOWANY	Nie udało się zgłosić kandydata
server/src/routes/knowledge.routes.ts:357	04 Tools	KNOWLEDGE_CANDIDATE_STATUS_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować statusu kandydata
server/src/routes/knowledge.routes.ts:396	04 Tools	KNOWLEDGE_CANDIDATE_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować kandydata
server/src/routes/knowledge.routes.ts:435	04 Tools	KNOWLEDGE_CANDIDATE_LINK_PROJECT_FAILED	LOKALIZOWANY	Nie udało się powiązać pomysłu z projektem
server/src/routes/knowledge.routes.ts:467	04 Tools	KNOWLEDGE_CANDIDATES_APPROVED_FAILED	LOKALIZOWANY	Nie udało się pobrać zatwierdzonych pomysłów
server/src/routes/knowledge.routes.ts:496	04 Tools	KNOWLEDGE_CANDIDATES_BY_CATEGORY_FAILED	LOKALIZOWANY	Nie udało się pobrać pomysłów wg kategorii
server/src/routes/knowledge.routes.ts:525	04 Tools	KNOWLEDGE_CANDIDATES_BY_PROJECT_FAILED	LOKALIZOWANY	Nie udało się pobrać pomysłów wg projektu
server/src/routes/knowledge.routes.ts:557	04 Tools	KNOWLEDGE_STRATEGIES_LIST_FAILED	LOKALIZOWANY	Nie udało się pobrać strategii
server/src/routes/knowledge.routes.ts:599	04 Tools	KNOWLEDGE_STRATEGY_CREATE_FAILED	LOKALIZOWANY	Nie udało się utworzyć strategii
server/src/routes/knowledge.routes.ts:642	04 Tools	KNOWLEDGE_STRATEGY_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować strategii
server/src/routes/knowledge.routes.ts:677	04 Tools	KNOWLEDGE_STRATEGY_LINK_DOCUMENT_FAILED	LOKALIZOWANY	Nie udało się powiązać dokumentu ze strategią
server/src/routes/knowledge.routes.ts:712	04 Tools	KNOWLEDGE_STRATEGY_LINK_IDEA_FAILED	LOKALIZOWANY	Nie udało się powiązać pomysłu ze strategią
server/src/routes/knowledge.routes.ts:744	04 Tools	KNOWLEDGE_STRATEGY_UNLINK_DOCUMENT_FAILED	LOKALIZOWANY	Nie udało się odłączyć dokumentu od strategii
server/src/routes/knowledge.routes.ts:776	04 Tools	KNOWLEDGE_STRATEGY_UNLINK_IDEA_FAILED	LOKALIZOWANY	Nie udało się odłączyć pomysłu od strategii
server/src/routes/knowledge.routes.ts:814	04 Tools	KNOWLEDGE_STRATEGY_PROGRESS_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować postępu strategii
server/src/routes/knowledge.routes.ts:847	04 Tools	KNOWLEDGE_STRATEGY_RELATED_FAILED	LOKALIZOWANY	Nie udało się pobrać strategii z powiązaniami
