etap,tabela,kolumna,pula,co,posiadane,kwota,wierszy,planowane,dodane,wynik
A1,tasks,assignee_id,,,,,0,,,nic do przepięcia
A1,tasks,owner_id,,,,,0,,,nic do przepięcia
A1,tasks,reporter_id,,,,,0,,,nic do przepięcia
A1,decisions,decision_maker_id,,,,,0,,,nic do przepięcia
A1,decisions,created_by,,,,,0,,,nic do przepięcia
A1,my_ideas,user_id,,,,,0,,,nic do przepięcia
A1,my_idea_maps,user_id,,,,,0,,,nic do przepięcia
A1,meetings,created_by,,,,,0,,,nic do przepięcia
A1,meeting_participants,user_id,,,,,0,,,nic do przepięcia
A1,conversations,user_id,,,,,0,,,nic do przepięcia
A1,conversations,created_by,,,,,0,,,nic do przepięcia
A1,projects,owner_id,,,,,0,,,nic do przepięcia
A1,initiative_resources,user_id,,,,,0,,,nic do przepięcia
A1,my_work_session_context,user_id,,,,,0,,,nic do przepięcia
A1,tp_bases,created_by,,,,,0,,,nic do przepięcia
A1,tp_tables,created_by,,,,,0,,,nic do przepięcia
A1,tp_views,created_by,,,,,0,,,nic do przepięcia
A1,tp_records,created_by,,,,,0,,,nic do przepięcia
A1,tp_base_members,user_id,,,,,0,,,nic do przepięcia
A2,,,skrzynka-zadania,,14,14,,,,kwota osiągnięta
A2,,,skrzynka-akceptacje,,8,8,,,,kwota osiągnięta
A2,,,skrzynka-decyzje,,4,4,,,,kwota osiągnięta
A2,,,skrzynka-eskalacje,,1,2,,,,brak kandydatów
A2,,,skrzynka-kpi-i-sygnaly,,7,7,,,,kwota osiągnięta
A2,,,czat-rozmowy-EN,,2,8,6,,,PRZEPIĘTE
A2,,,notatnik-notatniki,,2,2,,,,kwota osiągnięta
A2,,,notatnik-strony,,13,10,,,,kwota osiągnięta
A2,,,materialy,,5,5,,,,kwota osiągnięta
A2,,,kpi-definicje,,5,5,,,,kwota osiągnięta
A2,,,kpi-karty-wynikow,,2,2,,,,kwota osiągnięta
A2,,,okr-kluczowe-rezultaty,,4,4,,,,kwota osiągnięta
A2,,,spotkania-widmo,,11,8,,,,kwota osiągnięta
A2,,,audyty-programy,,1,1,,,,kwota osiągnięta
A2,,,oceny,,1,1,,,,kwota osiągnięta
A3,,,zadania-nieprzypisane-otwarte,,21,10,,,,kwota osiągnięta
A3,,,decyzje-bez-decydenta,,6,6,,,,kwota osiągnięta
A3,,,inicjatywy-wlasciciel-realizacji,,6,6,,,,kwota osiągnięta
A3,,,inicjatywy-sponsor,,3,3,,,,kwota osiągnięta
A3,,,wywiad-przypisania-sieroce,,9,3,,,,kwota osiągnięta
