etap,tabela,kolumna,pula,co,posiadane,kwota,wierszy,planowane,dodane,wynik
A2-CALOSC,,,skrzynka-zadania,,56,999999,,,,brak kandydatów
A2-CALOSC,,,skrzynka-akceptacje,,32,999999,,,,brak kandydatów
A2-CALOSC,,,skrzynka-decyzje,,3,999999,,,,brak kandydatów
A2-CALOSC,,,skrzynka-eskalacje,,1,999999,,,,brak kandydatów
A2-CALOSC,,,skrzynka-kpi-i-sygnaly,,22,999999,,,,brak kandydatów
A2-CALOSC,,,czat-rozmowy-EN,,123,999999,,,,brak kandydatów
A2-CALOSC,,,notatnik-notatniki,,2,999999,,,,brak kandydatów
A2-CALOSC,,,notatnik-strony,,34,999999,,,,brak kandydatów
A2-CALOSC,,,materialy,,7,999999,,,,brak kandydatów
A2-CALOSC,,,kpi-definicje,,25,999999,,,,brak kandydatów
A2-CALOSC,,,kpi-karty-wynikow,,3,999999,,,,brak kandydatów
A2-CALOSC,,,okr-kluczowe-rezultaty,,6,999999,,,,brak kandydatów
A2-CALOSC,,,spotkania-widmo,,18,999999,,,,brak kandydatów
A2-CALOSC,,,audyty-programy,,1,999999,,,,brak kandydatów
A2-CALOSC,,,oceny,,1,999999,,,,brak kandydatów
A2-CALOSC,,,skrzynka-reszta,,167,999999,,,,brak kandydatów
A2-CALOSC,,,czat-reszta,,176,999999,,,,brak kandydatów
WIDMO-PROSTE,initiatives,created_by,,,,,0,,,nic do przepięcia
WIDMO-PROSTE,initiatives,updated_by,,,,,0,,,nic do przepięcia
WIDMO-PROSTE,my_ideas,user_id,,,,,0,,,nic do przepięcia
WIDMO-PROSTE,tasks,created_by,,,,,26,,,dry-run
WIDMO-PROSTE,tasks,owner_id,,,,,25,,,dry-run
WIDMO-PROSTE,audit_programs,created_by,,,,,1,,,dry-run
WIDMO-UCZESTNICY,meeting_participants,,,,,,0,,,nic do przepięcia
WIDMO-WYWIAD,interview_assignments,assignee_user_id,,,,,0,,,nic do przepięcia
WIDMO-WYWIAD,interview_assignments,created_by,,,,,0,,,nic do przepięcia
WIDMO-MAPY-POMYSLOW,my_idea_maps,,,,,,14,,,dry-run
