ekran,zrodlo,wierszy
Moja Praca → Zadania (GET /api/my-work/tasks),my-work.routes.ts:1134,0
Moja Praca → Skrzynka: zaległe zadania,my-work.routes.ts:1727,0
Moja Praca → Skrzynka: otwarte zadania (nie zaległe),my-work.routes.ts:1779,0
Moja Praca → Skrzynka kanoniczna (GET /inbox/canonical),inboxService.ts:359-390,0
Moja Praca → Skrzynka kanoniczna: nierozliczone (pending),inboxService.ts:589,0
Moja Praca → Skrzynka: nieprzeczytane powiadomienia,my-work.routes.ts:1856,BŁĄD: could not determine data type of parameter $1
Decyzje do mojej akceptacji (pending/escalated),my-work/decisions.routes.ts:93,0
Decyzje — wszystkie moje (decydent lub wnioskodawca),my-work/stats.routes.ts:246,0
Inicjatywy — moje (owner/sponsor/autor),v8/my-work.routes.ts:2395-2398,0
Realizacja — inicjatywy z właścicielem realizacji = ja,v8/execution-control.routes.ts:1129,0
Kalendarz → spotkania (organizator lub uczestnik),my-work/calendar.routes.ts:609-618,0
Kalendarz → spotkania PRZYSZŁE (moje),my-work/calendar.routes.ts:621,BŁĄD: operator does not exist: text >= timestamp with time zone
Moje pomysły (GET /my-ideas),my-work.routes.ts:2777,0
Wywiad → moje przypisania,InterviewController.ts:4190,0
Notatnik → moje strony,v8/my-work.routes.ts:1025 + canAccessNotebookRow:369,0
Notatnik → moje notatniki,notebooks.owner_user_id,0
Materiały → moje dokumenty,knowledge_docs.owner_id,0
"Wyniki → KPI, których jestem właścicielem",rvn_kpi_definitions.owner_user_id,0
Wyniki → karty wyników (scorecards) moje,rvn_kpi_scorecards.owner_user_id,0
Wyniki → kluczowe rezultaty (OKR) moje,okr_vnext_key_results.owner_user_id,0
"Audyty → programy, których jestem właścicielem",audit_programs.program_owner_id,0
"Ocena → sesje, które prowadzę",assessments.created_by,0
Czat (Teresa) → moje rozmowy,conversations.routes.ts:274,0
Czat → wiadomości w moich rozmowach,conversation_messages przez conversation_id,BŁĄD: could not determine data type of parameter $1
"Projekty, których jestem właścicielem",projects.owner_id,0
