ekran,zrodlo,przed,po
Moja Praca → Zadania (GET /api/my-work/tasks),my-work.routes.ts:1134,18,18
Moja Praca → Skrzynka: zaległe zadania,my-work.routes.ts:1727,9,9
Moja Praca → Skrzynka: otwarte zadania (nie zaległe),my-work.routes.ts:1779,9,9
Moja Praca → Skrzynka kanoniczna (GET /inbox/canonical),inboxService.ts:359-390,25,33
Moja Praca → Skrzynka kanoniczna: nierozliczone (pending),inboxService.ts:589,25,33
Moja Praca → Skrzynka: nieprzeczytane powiadomienia,my-work.routes.ts:1856,4,4
Decyzje do mojej akceptacji (pending/escalated),my-work/decisions.routes.ts:93,13,13
Decyzje — wszystkie moje (decydent lub wnioskodawca),my-work/stats.routes.ts:246,18,18
Inicjatywy — moje (owner/sponsor/autor),v8/my-work.routes.ts:2395-2398,8,8
Realizacja — inicjatywy z właścicielem realizacji = ja,v8/execution-control.routes.ts:1129,6,6
Kalendarz → spotkania (organizator lub uczestnik),my-work/calendar.routes.ts:609-618,11,11
Kalendarz → spotkania PRZYSZŁE (moje),my-work/calendar.routes.ts:621,3,3
Moje pomysły (GET /my-ideas),my-work.routes.ts:2777,8,8
Wywiad → moje przypisania,InterviewController.ts:4190,9,9
Notatnik → moje strony,v8/my-work.routes.ts:1025 + canAccessNotebookRow:369,13,13
Notatnik → moje notatniki,notebooks.owner_user_id,2,2
Materiały → moje dokumenty,knowledge_docs.owner_id,5,5
"Wyniki → KPI, których jestem właścicielem",rvn_kpi_definitions.owner_user_id,5,5
Wyniki → karty wyników (scorecards) moje,rvn_kpi_scorecards.owner_user_id,2,2
Wyniki → kluczowe rezultaty (OKR) moje,okr_vnext_key_results.owner_user_id,4,4
"Audyty → programy, których jestem właścicielem",audit_programs.program_owner_id,1,1
"Ocena → sesje, które prowadzę",assessments.created_by,1,1
Czat (Teresa) → moje rozmowy,conversations.routes.ts:274,14,14
Czat → wiadomości w moich rozmowach,conversation_messages przez conversation_id,109,109
"Projekty, których jestem właścicielem",projects.owner_id,1,1
