tabela,akcja,w_zrodle_przed,przeniesione,w_zrodle_po,w_celu_przed,w_celu_po
"activity_logs","ZOSTAJE_TECHNICZNE","570","0","570","10620","10620"
"ai_agent_plans","CALOSC","1","1","0","9","10"
"ai_chat_runs","CALOSC","8","8","0","1113","1121"
"ai_cost_usage","CALOSC","8","8","0","1019","1027"
"ai_operator_plans","CALOSC","1","1","0","1","2"
"ai_operator_profiles","CALOSC","1","1","0","1","2"
"ai_quality_metrics","CALOSC","8","8","0","1020","1028"
"ai_usage_logs","CALOSC","2","2","0","885","887"
"api_logs","ZOSTAJE_TECHNICZNE","9113","0","9113","75813","75813"
"artifact_evidence","CALOSC","31","31","0","75","106"
"artifact_lineage_events","CALOSC","236","236","0","375","611"
"artifact_lineage_receipts","CALOSC","73","73","0","66","139"
"assessments","CALOSC","1","1","0","10","11"
"audit_log","ZOSTAJE_TECHNICZNE","430","0","430","6563","6563"
"collab_sessions","CALOSC","121","121","0","2606","2727"
"conversations","CALOSC","24","24","0","467","491"
"decisions","CALOSC","12","12","0","67","79"
"document_lifecycle_states","CALOSC","31","31","0","93","124"
"document_studio_editor_audit","CALOSC","31","31","0","229","260"
"document_studio_schema_overlay","CALOSC","31","31","0","43","74"
"document_studio_template_audit","CALOSC","10","10","0","24","34"
"document_studio_templates","CALOSC","3","3","0","8","11"
"document_version_snapshots","CALOSC","12","12","0","49","61"
"feedback_items","CALOSC","9","9","0","17","26"
"generated_workbooks","CALOSC","13","13","0","31","44"
"initiatives","CALOSC","7","7","0","97","104"
"interview_evidence","CALOSC","6","6","0","2","8"
"interview_library_templates","CALOSC","7","7","0","21","28"
"interview_questions","CALOSC","6","6","0","45","51"
"interview_sessions","CALOSC","2","2","0","9","11"
"knowledge_graph_entities","CALOSC","4","4","0","104","108"
"link_graph_edges","CALOSC","6","6","0","302","308"
"meeting_participants","CALOSC","5","5","0","39","44"
"meetings","CALOSC","5","5","0","10","15"
"my_idea_maps","CALOSC","19","19","0","13","32"
"my_ideas","CALOSC","20","20","0","17","37"
"my_work_session_context","CALOSC","3","3","0","2","5"
"notification_dedup","CALOSC","7","7","0","97","104"
"notifications","CALOSC","24","24","0","271","295"
