tabela,akcja,w_zrodle_przed,przeniesione,w_zrodle_po,w_celu_przed,w_celu_po
"activity_logs","ZOSTAJE_TECHNICZNE","570","0","570","10620","10620"
"api_logs","ZOSTAJE_TECHNICZNE","9113","0","9113","75813","75813"
"audit_log","ZOSTAJE_TECHNICZNE","430","0","430","6563","6563"
"okr_vnext_checkin_occurrences","ZOSTAJE_KOLIZJA","1","0","1","3","3"
"okr_vnext_checkins","ZOSTAJE_KOLIZJA","1","0","1","29","29"
"okr_vnext_cycles","ZOSTAJE_KOLIZJA","1","0","1","3","3"
"okr_vnext_key_results","ZOSTAJE_KOLIZJA","1","0","1","29","29"
"okr_vnext_objectives","ZOSTAJE_KOLIZJA","1","0","1","11","11"
"okr_vnext_program_policy_versions","ZOSTAJE_KOLIZJA","1","0","1","1","1"
"okr_vnext_programs","ZOSTAJE_KOLIZJA","1","0","1","1","1"
"okr_vnext_sets","ZOSTAJE_KOLIZJA","1","0","1","4","4"
"organization_context_snapshots","ZOSTAJE_KOLIZJA","1","0","1","1","1"
"organization_members","CZESC","2","0","2","16","16"
"project_role_templates","ZOSTAJE_KOLIZJA","12","0","12","12","12"
"rvn_platform_resource_visibility","CZESC","1","0","1","154","154"
"rvn_platform_visibility_policies","ZOSTAJE_KOLIZJA","3","0","3","4","4"
"v8_artifact_origin_links","CZESC","99","0","99","534","534"
