OK	api_logs	leg=9113	kan=75753	zmienionych=9113
OK	activity_logs	leg=570	kan=10620	zmienionych=570
OK	audit_log	leg=430	kan=6563	zmienionych=430
OK	artifact_lineage_events	leg=236	kan=375	zmienionych=236
OK	v8_output_artifacts	leg=185	kan=519	zmienionych=185
KOLIZJA	v8_artifact_origin_links	leg=178	kan=455	23505	duplicate key value violates unique constraint "idx_v81_origin_unique"	Key (organization_id, origin_runtime, origin_record_id)=(a3e05d4a-5397-419d-b486-8e44366c0063, sheet_template, eb721de4-e358-47e3-a8f3-09b80d906d4f) already exists.	idx_v81_origin_unique
OK	collab_sessions	leg=121	kan=2606	zmienionych=121
OK	artifact_lineage_receipts	leg=73	kan=66	zmienionych=73
OK	tasks	leg=56	kan=141	zmienionych=56
OK	v8_consumer_tool_policies	leg=35	kan=18	zmienionych=35
OK	artifact_evidence	leg=31	kan=75	zmienionych=31
OK	document_lifecycle_states	leg=31	kan=93	zmienionych=31
OK	document_studio_editor_audit	leg=31	kan=229	zmienionych=31
OK	document_studio_schema_overlay	leg=31	kan=43	zmienionych=31
OK	wave5_artifact_versions	leg=31	kan=230	zmienionych=31
OK	wave5_artifacts	leg=31	kan=206	zmienionych=31
OK	wave6_context_ledger	leg=29	kan=2932	zmienionych=29
OK	conversations	leg=24	kan=467	zmienionych=24
OK	notifications	leg=24	kan=271	zmienionych=24
OK	my_ideas	leg=20	kan=17	zmienionych=20
OK	presentation_decks	leg=20	kan=93	zmienionych=20
OK	my_idea_maps	leg=19	kan=13	zmienionych=19
OK	organization_context_claims	leg=18	kan=705	zmienionych=18
OK	organization_context_items	leg=18	kan=1799	zmienionych=18
OK	v8_tool_catalog	leg=18	kan=18	zmienionych=18
OK	transformation_plan_steps	leg=15	kan=15	zmienionych=15
OK	generated_workbooks	leg=13	kan=31	zmienionych=13
OK	decisions	leg=12	kan=67	zmienionych=12
OK	document_version_snapshots	leg=12	kan=49	zmienionych=12
KOLIZJA	project_role_templates	leg=12	kan=12	23505	duplicate key value violates unique constraint "project_role_templates_organization_id_role_key_key"	Key (organization_id, role_key)=(a3e05d4a-5397-419d-b486-8e44366c0063, OBSERVER) already exists.	project_role_templates_organization_id_role_key_key
OK	work_canvas_drafts	leg=12	kan=188	zmienionych=12
OK	transformation_case_audit_events	leg=11	kan=9	zmienionych=11
OK	document_studio_template_audit	leg=10	kan=24	zmienionych=10
OK	v8_output_exports	leg=10	kan=54	zmienionych=10
OK	feedback_items	leg=9	kan=17	zmienionych=9
KOLIZJA	organization_members	leg=9	kan=9	23505	duplicate key value violates unique constraint "organization_members_organization_id_user_id_key"	Key (organization_id, user_id)=(a3e05d4a-5397-419d-b486-8e44366c0063, d2b6a316-08c5-47cf-9bf7-4ba50311d5a2) already exists.	organization_members_organization_id_user_id_key
OK	ai_chat_runs	leg=8	kan=1113	zmienionych=8
OK	ai_cost_usage	leg=8	kan=1019	zmienionych=8
OK	ai_quality_metrics	leg=8	kan=1020	zmienionych=8
OK	presentation_export_records	leg=8	kan=12	zmienionych=8
OK	presentation_runtime_events	leg=8	kan=28	zmienionych=8
OK	wave6_context_snapshots	leg=8	kan=1023	zmienionych=8
OK	initiatives	leg=7	kan=97	zmienionych=7
OK	interview_library_templates	leg=7	kan=21	zmienionych=7
OK	notification_dedup	leg=7	kan=97	zmienionych=7
OK	raid_items	leg=7	kan=0	zmienionych=7
OK	tp_bases	leg=7	kan=25	zmienionych=7
OK	users	leg=7	kan=9	zmienionych=7
OK	interview_evidence	leg=6	kan=2	zmienionych=6
OK	interview_questions	leg=6	kan=45	zmienionych=6
OK	link_graph_edges	leg=6	kan=302	zmienionych=6
OK	meeting_participants	leg=5	kan=39	zmienionych=5
OK	meetings	leg=5	kan=10	zmienionych=5
OK	presentation_template_governance_events	leg=5	kan=19	zmienionych=5
OK	knowledge_graph_entities	leg=4	kan=104	zmienionych=4
OK	rvn_platform_resource_visibility	leg=4	kan=151	zmienionych=4
OK	document_studio_templates	leg=3	kan=8	zmienionych=3
OK	my_work_session_context	leg=3	kan=2	zmienionych=3
KOLIZJA	rvn_platform_visibility_policies	leg=3	kan=4	23505	duplicate key value violates unique constraint "rvn_platform_visibility_polic_organization_id_domain_policy_key"	Key (organization_id, domain, policy_version)=(a3e05d4a-5397-419d-b486-8e44366c0063, kpi, 1) already exists.	rvn_platform_visibility_polic_organization_id_domain_policy_key
OK	ai_usage_logs	leg=2	kan=885	zmienionych=2
OK	interview_sessions	leg=2	kan=9	zmienionych=2
OK	organization_media	leg=2	kan=0	zmienionych=2
OK	presentation_templates	leg=2	kan=11	zmienionych=2
OK	v8_agent_admin_audit_events	leg=2	kan=0	zmienionych=2
OK	v8_agent_proposal_governance_events	leg=2	kan=2	zmienionych=2
OK	v8_agent_tenant_activation_receipts	leg=2	kan=0	zmienionych=2
OK	wave8_agent_tool_governance_events	leg=2	kan=0	zmienionych=2
OK	ai_agent_plans	leg=1	kan=9	zmienionych=1
OK	ai_operator_plans	leg=1	kan=1	zmienionych=1
OK	ai_operator_profiles	leg=1	kan=1	zmienionych=1
OK	assessments	leg=1	kan=10	zmienionych=1
OK	okr_vnext_checkin_occurrences	leg=1	kan=3	zmienionych=1
OK	okr_vnext_checkins	leg=1	kan=29	zmienionych=1
OK	okr_vnext_cycles	leg=1	kan=3	zmienionych=1
OK	okr_vnext_key_results	leg=1	kan=29	zmienionych=1
OK	okr_vnext_objectives	leg=1	kan=11	zmienionych=1
OK	okr_vnext_program_policy_versions	leg=1	kan=1	zmienionych=1
KOLIZJA	okr_vnext_programs	leg=1	kan=1	23505	duplicate key value violates unique constraint "ux_okr_vnext_programs_one_active_per_org"	Key (organization_id)=(a3e05d4a-5397-419d-b486-8e44366c0063) already exists.	ux_okr_vnext_programs_one_active_per_org
OK	okr_vnext_sets	leg=1	kan=4	zmienionych=1
KOLIZJA	organization_context_snapshots	leg=1	kan=1	23505	duplicate key value violates unique constraint "organization_context_snapshots_pkey"	Key (organization_id)=(a3e05d4a-5397-419d-b486-8e44366c0063) already exists.	organization_context_snapshots_pkey
OK	projects	leg=1	kan=15	zmienionych=1
OK	rvn_kpi_definition_versions	leg=1	kan=139	zmienionych=1
OK	rvn_kpi_definitions	leg=1	kan=139	zmienionych=1
OK	rvn_kpi_deviation_cases	leg=1	kan=1	zmienionych=1
OK	rvn_kpi_measurements	leg=1	kan=1099	zmienionych=1
OK	rvn_kpi_scorecards	leg=1	kan=4	zmienionych=1
OK	rvn_roi_baselines	leg=1	kan=4	zmienionych=1
OK	rvn_roi_cases	leg=1	kan=4	zmienionych=1
OK	rvn_roi_post_investment_reviews	leg=1	kan=1	zmienionych=1
OK	tp_base_templates	leg=1	kan=7	zmienionych=1
OK	transformation_cases	leg=1	kan=1	zmienionych=1
OK	transformation_planning_intakes	leg=1	kan=0	zmienionych=1
OK	transformation_plans	leg=1	kan=1	zmienionych=1
OK	transformation_stage_proposals	leg=1	kan=1	zmienionych=1
OK	v8_agent_proposal_versions	leg=1	kan=1	zmienionych=1
OK	v8_agent_run_identities	leg=1	kan=1	zmienionych=1
OK	v8_context_snapshots	leg=1	kan=76	zmienionych=1
OK	v8_execution_runs	leg=1	kan=131	zmienionych=1
OK	work_canvas_proposals	leg=1	kan=53	zmienionych=1
