tabela	typ	legacy	kanoniczna	wszystkie	blad
api_logs	text	9113	75753	208565	
activity_logs	text	570	10620	13471	
audit_log	text	430	6563	8190	
artifact_lineage_events	text	236	375	611	
v8_output_artifacts	text	185	519	2223	
v8_artifact_origin_links	text	178	455	2081	
collab_sessions	text	121	2606	7530	
artifact_lineage_receipts	text	73	66	139	
tasks	text	56	141	453	
v8_consumer_tool_policies	text	35	18	3509	
artifact_evidence	text	31	75	168	
document_lifecycle_states	text	31	93	189	
document_studio_editor_audit	text	31	229	372	
document_studio_schema_overlay	text	31	43	126	
wave5_artifact_versions	text	31	230	328	
wave5_artifacts	text	31	206	304	
wave6_context_ledger	text	29	2932	3318	
conversations	text	24	467	801	
notifications	text	24	271	371	
my_ideas	text	20	17	1823	
presentation_decks	text	20	93	187	
my_idea_maps	text	19	13	848	
organization_context_claims	text	18	705	36836	
organization_context_items	text	18	1799	5069	
v8_tool_catalog	text	18	18	3492	
transformation_plan_steps	text	15	15	30	
generated_workbooks	text	13	31	135	
decisions	text	12	67	198	
document_version_snapshots	text	12	49	113	
project_role_templates	text	12	12	324	
work_canvas_drafts	text	12	188	414	
transformation_case_audit_events	text	11	9	20	
document_studio_template_audit	text	10	24	34	
v8_output_exports	text	10	54	73	
feedback_items	text	9	17	31	
organization_members	text	9	9	1445	
ai_chat_runs	text	8	1113	1205	
ai_cost_usage	text	8	1019	1097	
ai_quality_metrics	text	8	1020	1098	
presentation_export_records	text	8	12	22	
presentation_runtime_events	text	8	28	38	
wave6_context_snapshots	text	8	1023	1110	
initiatives	text	7	97	173	
interview_library_templates	text	7	21	51	
notification_dedup	text	7	97	115	
raid_items	text	7	0	9	
tp_bases	text	7	25	45	
users	text	7	9	1434	
interview_evidence	text	6	2	8	
interview_questions	text	6	45	91	
link_graph_edges	text	6	302	320	
meeting_participants	text	5	39	65	
meetings	text	5	10	20	
presentation_template_governance_events	text	5	19	24	
knowledge_graph_entities	text	4	104	143	
rvn_platform_resource_visibility	text	4	151	155	
document_studio_templates	text	3	8	55	
my_work_session_context	text	3	2	32	
rvn_platform_visibility_policies	text	3	4	7	
ai_usage_logs	text	2	885	895	
interview_sessions	text	2	9	28	
organization_media	text	2	0	2	
presentation_templates	text	2	11	26	
v8_agent_admin_audit_events	text	2	0	2	
v8_agent_proposal_governance_events	text	2	2	4	
v8_agent_tenant_activation_receipts	text	2	0	2	
wave8_agent_tool_governance_events	text	2	0	2	
ai_agent_plans	text	1	9	10	
ai_operator_plans	text	1	1	3	
ai_operator_profiles	text	1	1	2	
assessments	text	1	10	14	
okr_vnext_checkin_occurrences	text	1	3	4	
okr_vnext_checkins	text	1	29	30	
okr_vnext_cycles	text	1	3	4	
okr_vnext_key_results	text	1	29	30	
okr_vnext_objectives	text	1	11	12	
okr_vnext_program_policy_versions	text	1	1	2	
okr_vnext_programs	text	1	1	2	
okr_vnext_sets	text	1	4	5	
organization_context_snapshots	text	1	1	1503	
projects	text	1	15	31	
rvn_kpi_definition_versions	text	1	139	140	
rvn_kpi_definitions	text	1	139	140	
rvn_kpi_deviation_cases	text	1	1	2	
rvn_kpi_measurements	text	1	1099	1100	
rvn_kpi_scorecards	text	1	4	5	
rvn_roi_baselines	text	1	4	5	
rvn_roi_cases	text	1	4	5	
rvn_roi_post_investment_reviews	text	1	1	2	
tp_base_templates	text	1	7	47	
transformation_cases	text	1	1	2	
transformation_planning_intakes	text	1	0	1	
transformation_plans	text	1	1	2	
transformation_stage_proposals	text	1	1	2	
v8_agent_proposal_versions	text	1	1	2	
v8_agent_run_identities	text	1	1	2	
v8_context_snapshots	text	1	76	77	
v8_execution_runs	text	1	131	132	
work_canvas_proposals	text	1	53	54	
_v8_flag_backup_20260710	text	0	1	2	
access_codes	text	0	0	0	
access_requests	text	0	1	2	
account_deletion_request_receipts	text	0	0	0	
action_cards	text	0	0	0	
adkar_assessments	text	0	0	0	
admin_audit_export_receipts	text	0	0	0	
admin_audit_logs	text	0	0	0	
admin_dashboards	text	0	0	0	
admin_iam_invitation_commands	text	0	0	0	
admin_iam_invitation_delivery_attempts	text	0	0	0	
admin_iam_job_events	text	0	0	0	
admin_iam_jobs	text	0	0	0	
admin_iam_member_commands	text	0	0	0	
admin_role_assignments	text	0	0	0	
admin_saved_reports	text	0	0	0	
admin_sessions	text	0	0	0	
advisor_response_log	text	0	0	0	
agent_folders	text	0	0	0	
ai_actions	text	0	109	129	
ai_actions_config	text	0	0	0	
ai_actions_log	text	0	0	0	
ai_agent_audit_metrics	text	0	0	0	
ai_agent_audit_runs	text	0	0	0	
ai_agent_job_receipts	text	0	0	0	
ai_approval_requests	text	0	0	0	
ai_audit_log	text	0	0	0	
ai_audit_logs	text	0	18	19	
ai_authoring_audit	text	0	0	0	
ai_budgets	text	0	0	0	
ai_context_snapshots	text	0	0	0	
ai_contexts	text	0	0	0	
ai_conversations	text	0	0	0	
ai_cost_alerts_sent	text	0	0	0	
ai_cost_tracking	text	0	0	0	
ai_data_access_log	text	0	0	0	
ai_data_classifications	text	0	0	0	
ai_decision_audit_log	text	0	0	0	
ai_decision_outcomes	text	0	0	0	
ai_deep_thinking_confirms	text	0	8	8	
ai_deep_thinking_metrics	text	0	4	6	
ai_dlp_rules	text	0	0	0	
ai_doc_usage_log	text	0	9	9	
ai_domain_playbooks	text	0	0	0	
ai_drafts	text	0	0	0	
ai_eval_auto_triggers	text	0	0	0	
ai_eval_datasets	text	0	0	0	
ai_eval_golden_sets	text	0	0	0	
ai_eval_regression_gates	text	0	0	0	
ai_evaluations	text	0	0	0	
ai_experiments	text	0	0	0	
ai_feature_control	text	0	0	0	
ai_feedback	text	0	0	0	
ai_governance_policies	text	0	0	0	
ai_grounding_logs	text	0	0	0	
ai_inbox	text	0	0	0	
ai_instruction_suggestions	text	0	0	0	
ai_instructions_org	text	0	0	0	
ai_intent_routing_log	text	0	0	0	
ai_knowledge_embeddings	text	0	0	0	
ai_learned_patterns	text	0	0	0	
ai_learning_interactions	text	0	0	0	
ai_learning_metrics	text	0	0	0	
ai_learning_patterns	text	0	0	0	
ai_long_term_memory	text	0	0	0	
ai_model_overrides	text	0	0	0	
ai_model_permissions	text	0	0	0	
ai_nudge_activity	text	0	0	0	
ai_nudge_log	text	0	0	0	
ai_observability_snapshots	text	0	0	0	
ai_operator_communications	text	0	0	0	
ai_operator_interventions	text	0	1	1	
ai_org_memory	text	0	1	1	
ai_organization_memory	text	0	0	0	
ai_organization_settings	text	0	0	0	
ai_partial_responses	text	0	2	2	
ai_playbook_executions	text	0	0	0	
ai_playbook_runs	text	0	0	0	
ai_playbook_templates	text	0	0	0	
ai_policies	text	0	0	0	
ai_project_memory	text	0	0	0	
ai_purpose_assignments	text	0	0	155	
ai_rate_limits	text	0	0	0	
ai_retention_schedule	text	0	0	0	
ai_run_ledger	text	0	109	129	
ai_security_audit_log	text	0	38	49	
ai_soc2_audit_trail	text	0	0	0	
ai_spending_alerts	text	0	0	0	
ai_style_learning_patterns	text	0	0	0	
ai_typed_actions	text	0	7	7	
ai_usage_stats	text	0	0	0	
ai_user_memory	text	0	0	2	
ai_user_style_profiles	text	0	0	8	
ai_user_tiers	text	0	0	0	
analysis_financial_scenarios	text	0	0	0	
analysis_financials	text	0	0	0	
api_keys	text	0	0	10	
approval_requests	text	0	0	0	
approval_workflows	text	0	0	0	
approved_domains	text	0	0	0	
artifact_conversion_events	text	0	4	4	
artifact_conversions	text	0	4	4	
artifact_export_receipts	text	0	0	0	
artifact_handoff_proposals	text	0	0	0	
artifact_handoff_receipts	text	0	0	0	
artifact_lifecycle_events	text	0	18	18	
artifact_lineage_operation_claims	text	0	0	0	
artifact_lineage_pending_events	text	0	2	2	
assessment_accepted_snapshots	text	0	0	0	
assessment_access_requests	text	0	0	0	
