id,status,planned_start_date,planned_end_date,baseline_start_date,baseline_end_date,schedule_shift_count
"init-drd-final-02","APPROVED","","","","","0"
"fbdeede9-85e0-439c-b798-c07caf2ca21c","APPROVED","2026-09-15T21:09:17.845Z","2026-11-24T21:09:17.845Z","2026-09-15T21:09:17.845Z","2026-11-24T21:09:17.845Z","0"
"init-drd-test-02","APPROVED","","","","","0"
"init-adma-04","APPROVED","","","","","0"
"init-drd-final-03","APPROVED","","","","","0"
"2e578e14-a13d-4932-a62b-046be51e8f09","APPROVED","2026-09-10T21:09:17.836Z","2026-11-19T21:09:17.836Z","2026-09-10T21:09:17.836Z","2026-11-19T21:09:17.836Z","0"
"seed_ri_init_data_lineage","APPROVED","","","","","0"
"init-drd-test-04","APPROVED","","","","","0"
"init-adma-06","APPROVED","","","","","0"
"init-siri-04","APPROVED","","","","","0"
"init-siri-02","APPROVED","","","","","0"
"seed_ri_init_weekly_portfolio_board","APPROVED","","","","","0"
"seed_ri_init_benefits_tracking","CLOSED","","","","","0"
"init-siri-07","CLOSED","","","","","0"
"init-adma-08","CLOSED","","","","","0"
"init-drd-test-07","CLOSED","","","","","0"
"seed_ri_init_exception_board","CLOSED","","","","","0"
"seed_ri_init_archive_example","CLOSED","","","","","0"
"init-drd-final-08","CLOSED","","","","","0"
"init-drd-final-09","CLOSED","","","","","0"
"init-drd-test-08","CLOSED","","","","","0"
"seed_ri_init_approval_sla","DRAFT","","","","","0"
"init-adma-09","DRAFT","","","","","0"
"init-drd-final-07","DRAFT","","","","","0"
"init-adma-10","DRAFT","","","","","0"
"init-siri-05","DRAFT","","","","","0"
"init-adma-05","DRAFT","","","","","0"
"init-drd-test-06","DRAFT","","","","","0"
"init-adma-01","DRAFT","","","","","0"
"ce51efcb-4fb8-4006-a5c7-c87ae4c74b29","DRAFT","","","","","0"
"2ef1996d-2af3-4bb2-9141-cb095a033934","IN_EXECUTION","2026-08-21T21:09:17.818Z","2026-10-05T21:09:17.818Z","2026-08-21T21:09:17.818Z","2026-10-05T21:09:17.818Z","0"
"seed:wyniki-dbr77-20260905|cc9db573-260f-4a19-927f-f3cc1fbaea38|automatyzacja-magazynu-wip","IN_EXECUTION","","","","","0"
"seed_ri_init_change_adoption","IN_EXECUTION","","","","","0"
"7869d1ac-f584-4a94-9054-56102132daad","IN_EXECUTION","2026-08-06T21:09:17.805Z","2026-10-20T21:09:17.808Z","2026-08-06T21:09:17.805Z","2026-10-20T21:09:17.808Z","0"
"0838adde-c264-4304-af42-16977424307f","IN_EXECUTION","2026-08-28T21:09:17.849Z","2026-09-20T21:09:17.849Z","2026-08-28T21:09:17.849Z","2026-09-20T21:09:17.849Z","0"
"07848335-a35d-44f0-b9b7-0c20feebbb8d","IN_EXECUTION","2026-08-16T21:09:17.815Z","2026-11-04T21:09:17.815Z","2026-08-16T21:09:17.815Z","2026-11-04T21:09:17.815Z","0"
"68f1c0dc-ed77-41a3-afd6-08a0513dfdd5","IN_EXECUTION","2026-08-24T21:09:17.843Z","2026-10-30T21:09:17.843Z","2026-08-24T21:09:17.843Z","2026-10-30T21:09:17.843Z","0"
"init-drd-final-06","IN_EXECUTION","","","","","0"
"c7148bc1-4378-42a9-bf9c-966dd6864756","IN_EXECUTION","2026-08-22T21:09:17.857Z","2026-10-23T21:09:17.857Z","2026-08-22T21:09:17.857Z","2026-10-23T21:09:17.857Z","0"
"init-drd-final-01","IN_EXECUTION","","","","","0"
"4d991c47-07cb-4b09-a108-8a61d85718a0","IN_EXECUTION","2026-08-01T21:09:17.839Z","2026-10-25T21:09:17.839Z","2026-08-01T21:09:17.839Z","2026-10-25T21:09:17.839Z","0"
"seed_ri_init_it_capacity_buffer","IN_EXECUTION","","","","","0"
"3258858d-8ec5-4bea-bc39-31617a63a649","IN_EXECUTION","2026-07-27T21:09:17.841Z","2026-12-04T21:09:17.841Z","2026-07-27T21:09:17.841Z","2026-12-04T21:09:17.841Z","0"
"init-drd-test-01","IN_EXECUTION","","","","","0"
"init-siri-01","IN_EXECUTION","","","","","0"
"init-siri-09","IN_EXECUTION","","","","","0"
"fdcd78d0-677d-4a6e-96c4-1815e0055747","IN_EXECUTION","2026-08-11T21:09:17.823Z","2026-10-15T21:09:17.823Z","2026-08-11T21:09:17.823Z","2026-10-15T21:09:17.823Z","0"
"seed:wyniki-dbr77-20260905|cc9db573-260f-4a19-927f-f3cc1fbaea38|robotyzacja-gniazda-spawalniczego","IN_EXECUTION","","","","","0"
"ee42d899-1aa7-4a8e-bc13-d98c6119ac1a","IN_EXECUTION","2026-08-26T21:09:17.831Z","2026-09-25T21:09:17.831Z","2026-08-26T21:09:17.831Z","2026-09-25T21:09:17.831Z","0"
"fa87dc75-d838-4fa0-8263-590969aa8621","IN_EXECUTION","2026-08-26T21:09:17.865Z","2026-10-30T21:09:17.865Z","2026-08-26T21:09:17.865Z","2026-10-30T21:09:17.865Z","0"
"seed:wyniki-dbr77-20260905|cc9db573-260f-4a19-927f-f3cc1fbaea38|system-wizyjny-kontroli-jakosci","IN_EXECUTION","","","","","0"
"70d422bd-4707-485e-a74c-bc1db1a7b7af","IN_EXECUTION","2026-08-18T21:09:17.853Z","2026-11-09T21:09:17.853Z","2026-08-18T21:09:17.853Z","2026-11-09T21:09:17.853Z","0"
"ab5ab3f1-4f3d-4660-a433-f897babeb2c8","IN_EXECUTION","2026-08-14T21:09:17.855Z","2026-10-10T21:09:17.855Z","2026-08-14T21:09:17.855Z","2026-10-10T21:09:17.855Z","0"
"init-siri-08","PENDING_APPROVAL","","","","","0"
"init-drd-test-03","PENDING_APPROVAL","","","","","0"
"seed_ri_init_decision_rights","PENDING_APPROVAL","","","","","0"
"init-drd-final-05","PENDING_APPROVAL","","","","","0"
"init-drd-test-09","PENDING_APPROVAL","","","","","0"
"seed_ri_init_kpi_contract","PENDING_APPROVAL","","","","","0"
"init-adma-02","PENDING_APPROVAL","","","","","0"
"init-drd-test-05","PENDING_APPROVAL","","","","","0"
"seed_ri_init_handoff_automation","PENDING_APPROVAL","","","","","0"
"init-siri-03","PENDING_APPROVAL","","","","","0"
"init-drd-final-10","PENDING_APPROVAL","","","","","0"
"init-adma-03","PENDING_APPROVAL","","","","","0"
"seed_ri_init_smed_line3","PENDING_APPROVAL","","","","","0"
"init-drd-final-04","PENDING_APPROVAL","","","","","0"
"init-siri-06","PENDING_APPROVAL","","","","","0"
"init-adma-07","PENDING_APPROVAL","","","","","0"
"seed_ri_init_contradiction_research","REJECTED","","","","","0"
"init-siri-10","REJECTED","","","","","0"
"init-drd-test-10","REJECTED","","","","","0"
