"tabela","kolumna","wierszy"
"tasks","organization_id","517"
"initiative_milestones","organization_id","429"
"decisions","organization_id","275"
"organization_context_claims","organization_id","264"
"initiatives","organization_id","242"
"users","organization_id","202"
"initiative_dependencies","organization_id","110"
"knowledge_docs","organization_id","110"
"custom_prompts","organization_id","99"
"my_idea_maps","organization_id","88"
"my_ideas","organization_id","88"
"projects","organization_id","77"
"status_reports","organization_id","77"
"interview_sessions","organization_id","55"
"notebook_pages","organization_id","55"
"teams","organization_id","55"
"activity_logs","organization_id","37"
"financial_statement_ingest_runs","organization_id","33"
"financial_statements","organization_id","33"
"interview_insight_findings","organization_id","33"
"interview_insight_handoffs","organization_id","33"
"presentation_decks","organization_id","33"
"tool_sessions","organization_id","33"
"closure_delivery_receipts","organization_id","22"
"initiative_benefits","organization_id","22"
"results_writer_observations","organization_id","22"
"rollout_kpis","organization_id","22"
"v8_output_artifacts","organization_id","22"
"v8_output_exports","organization_id","22"
"analysis_financials","organization_id","11"
"assessment_reports","organization_id","11"
"assessments","organization_id","11"
"digitization_analyses","organization_id","11"
"financial_analyses","organization_id","11"
"financial_models","organization_id","11"
"financial_statement_packs","organization_id","11"
"interview_insights","organization_id","11"
"organization_context_items","organization_id","11"
"organization_context_snapshots","organization_id","11"
"rollout_changes","organization_id","11"
"rollout_closures","organization_id","11"
"rollout_risks","organization_id","11"
"legal_document_acceptances","organization_id","8"
"api_logs","organization_id","4"
"attribution_events","organization_id","4"
"conversion_events","organization_id","4"
"organization_limits","organization_id","4"
"organization_members","organization_id","4"
