# Lista organizacji DO USUNIECIA — sprzatanie smieci testowych Playwright p2a-e2e-*
# Zadanie 3, dyzur p10-decyzje-20260910. Zrodlo: JOIN organizations<-organization_members<-users
# WHERE users.email LIKE 'p2a-e2e-%@dbr77.com'. Zero dopasowania po nazwie organizacji.
# Wygenerowano: 2026-09-10T06:43:23.187Z
#
# Format: <organization_id> | <nazwa> | <liczba czlonkow> | <uwaga>

67007f16-cd52-4d56-8a60-ac75a2da1f08 | P2A E2E setup Sp. z o.o. | 1 | e2e Playwright, jednorazowa
302070d9-92fa-4398-929a-8e0b975e8cd2 | P2A Check 409 | 1 | e2e Playwright, jednorazowa
266b2b30-d7dd-4cbe-9052-c2148c9c63dc | P2A E2E setup mtv4iqkl9fuj Sp. z o.o. | 1 | e2e Playwright, jednorazowa
e17609fd-b3c6-45f7-84cd-db4458692bec | P2A E2E setup mtv4l5ind1f9 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
5bded5b7-2241-44b6-b17c-453532817704 | P2A E2E chat mtv4lc2klbo Sp. z o.o. | 1 | e2e Playwright, jednorazowa
529a882b-d7a2-4449-bac1-fff1804cfa8e | P2A E2E mywork mtv4li2tjjgi Sp. z o.o. | 1 | e2e Playwright, jednorazowa
a9844384-a2e1-4da7-8203-24e538fc7235 | P2A E2E decisions mtv4lohj1o0z Sp. z o.o. | 1 | e2e Playwright, jednorazowa
447b5cc1-c963-4e71-b1b8-78d32fd6bc78 | P2A E2E setup mtv4nbaoe4jj Sp. z o.o. | 1 | e2e Playwright, jednorazowa
58308ab6-3f17-4737-95af-2393c2d81792 | P2A E2E chat mtv4ngl1smu Sp. z o.o. | 1 | e2e Playwright, jednorazowa
d2551a81-980e-43b0-8ac9-3fc96daa8221 | P2A E2E mywork mtv4nmmf9y1v Sp. z o.o. | 1 | e2e Playwright, jednorazowa
e4438b3c-87e8-43b0-828e-b492c5865149 | P2A E2E decisions mtv4nto25k60 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
4957e1f8-b0f6-45a3-9eb7-a67763760d2f | P2A E2E setup mtv4oijb6dir Sp. z o.o. | 1 | e2e Playwright, jednorazowa
83fe05ab-e770-4329-b1f7-d47dabcac580 | P2A E2E chat mtv4opijk3jp Sp. z o.o. | 1 | e2e Playwright, jednorazowa
e7f80ed8-22f9-4bc5-8ba3-2999ed4e6c6a | P2A E2E mywork mtv4ow6hgabq Sp. z o.o. | 1 | e2e Playwright, jednorazowa
fa80bb2f-23ce-458f-bb85-98973b9f1f9b | P2A E2E decisions mtv4p3ozaj31 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
3a0177bc-af29-4192-a61f-f5b6ca501bd0 | P2A E2E setup mtv4pxe5305v Sp. z o.o. | 1 | e2e Playwright, jednorazowa
aa136988-6b62-44f5-8dcf-86a22aeb6ade | P2A E2E chat mtv4q2mk7p0o Sp. z o.o. | 1 | e2e Playwright, jednorazowa
cf683159-2a43-4a88-90f9-c5b758949e66 | P2A E2E mywork mtv4qhwh8ngz Sp. z o.o. | 1 | e2e Playwright, jednorazowa
65d7a55b-e2a0-450d-ac59-f7f0ae12fb7b | P2A E2E interview mtv4qnvqg94u Sp. z o.o. | 1 | e2e Playwright, jednorazowa
4a1d4e2c-3fb7-46da-a204-a9384261ef9b | P2A E2E setup mtv4s3iw4dfx Sp. z o.o. | 1 | e2e Playwright, jednorazowa
965cab1f-7335-4d11-8c32-1219606f34da | P2A E2E chat mtv4s9zo47ip Sp. z o.o. | 1 | e2e Playwright, jednorazowa
48013043-ec18-4ff7-aaec-76ce3db74cd3 | P2A E2E mywork mtv4sfx3ody Sp. z o.o. | 1 | e2e Playwright, jednorazowa
13f5ab11-98bf-42ea-b355-bd0d81b1ef9d | P2A E2E interview mtv4smghgbz2 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
5f18d55c-08dd-4ef2-b59c-140bfb654a90 | P2A E2E assessment mtv4ssrujx8f Sp. z o.o. | 1 | e2e Playwright, jednorazowa
5f52b8ea-7bc2-413f-a757-75c64d368ff1 | P2A E2E organization mtv4sz16hqud Sp. z o.o. | 1 | e2e Playwright, jednorazowa
e2d7c2e0-8785-46a5-b77c-e0d72f3b67b5 | P2A E2E settings mtv4t4mbi19r Sp. z o.o. | 1 | e2e Playwright, jednorazowa
df01f51f-d2f7-46f9-b5a2-138f6b8c7862 | P2A E2E settings mtv4u0nj5t0e Sp. z o.o. | 1 | e2e Playwright, jednorazowa
d73c4aa3-09c0-436e-a06f-b671ed2a15ca | P2A E2E setup mtv4zb6x6cke Sp. z o.o. | 1 | e2e Playwright, jednorazowa
64408ec8-8aef-407a-a1c5-01a74d015f68 | P2A E2E chat mtv4zguhebi5 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
1905ea07-f1ad-4ddf-ae55-2780ea08b0b3 | P2A E2E mywork mtv4zmnxb0ho Sp. z o.o. | 1 | e2e Playwright, jednorazowa
b97f205c-b099-47ef-8221-b4e1f4892fe2 | P2A E2E interview mtv4ztrfc37q Sp. z o.o. | 1 | e2e Playwright, jednorazowa
713e9562-e415-4108-a0b5-d989463300aa | P2A E2E assessment mtv5014y7jd0 Sp. z o.o. | 1 | e2e Playwright, jednorazowa
2e060cd7-dfd1-42a4-a1a5-886940f46484 | P2A E2E organization mtv506yag1up Sp. z o.o. | 1 | e2e Playwright, jednorazowa
9d7f5e4a-95d3-438f-9faf-3f450c883cb7 | P2A E2E settings mtv50chxemsx Sp. z o.o. | 1 | e2e Playwright, jednorazowa
