# Lista organizacji DO USUNIĘCIA — paczka D0 programu „jedna baza pokazowa po angielsku”
#
# Wygenerowana 2026-09-08 z kopii `consultify_kopia_d0` (TEMPLATE consultify_staging_kopia),
# zapytaniami wzorowanymi na docs/program/DANE_POKAZOWE_EN_20260908/POMIAR.sql (Q5/Q7).
#
# Format wiersza:  <organization_id> | <nazwa> | <liczba członków> | <powód>
# Linie zaczynające się od `#` oraz puste są ignorowane przez skrypt.
# Skrypt `scripts/dane/usun-organizacje.ts` czyta WYŁĄCZNIE identyfikator (pierwsza kolumna).
# Dopasowanie po nazwie jest w skrypcie ZABRONIONE — nazwa jest tu tylko dla oczu człowieka.
#
# Powody:
#   worek         — `demo-org`: organizacja-worek po rejestracjach E2E (1061 członków)
#   klon-sesyjny  — efemeryczny klon `demo-org-session-*` po sondzie QA
#   pusta         — „My Company”: pusty formularz rejestracji
#   test          — organizacja testowa/QA po nazwie lub po adresie e-mail jedynego członka
#   E2E           — tenant testów end-to-end
#
# LICZBA WIERSZY LISTY: 325 organizacji.
# UWAGA — SPROSTOWANIE WOBEC PLANU: PLAN.md §D0 mówi „318 organizacji śmieciowych + demo-org”.
# Pomiar na kopii daje 325 organizacji poza sześcioma zachowanymi (w tym `demo-org`
# i klon sesyjny). Liczba 318 z PLAN.md §1 nie sumuje się z rozbiciem 286+32+4 = 322
# ani z Q4 (325 „reszty”). Prawdziwa liczba do usunięcia = 331 − 6 = 325.
#
# Dwie organizacje, które nie wpadały w żaden wzorzec nazwy, sprawdzone ręcznie i
# zaklasyfikowane jako `test` po adresie jedynego członka:
#   6c3290eb-0f17-43f3-9906-41f3922e423c „Consultify”              → test_smoke_c2@consultify.ai
#   fa331bb5-8707-4f82-bb2e-51904d7c664e „My CompanyCFO Services Inc” → cfo_demo_3@example.com
#
# NA TEJ LIŚCIE NIE MA i NIGDY NIE MOŻE BYĆ żadnego ID z scripts/dane/lista-zachowana.txt.
# Skrypt odmawia startu, jeśli przecięcie obu list jest niepuste.
demo-org | Demo Organization | 1061 | worek
demo-org-session-d1538cccff-msarpqu3 | Atelier Toys | 18 | klon-sesyjny
0397118a-5fc6-463a-89f8-c3eb7caca541 | My Company | 1 | pusta
5558c131-03cd-4be9-ac3d-89da574613e2 | My Company | 1 | pusta
7fe8155e-d5f2-4b48-8d0f-d249770cea8e | My Company | 1 | pusta
9c57c059-2637-4aba-8002-ef40c3a40496 | My Company | 1 | pusta
caaaefc1-c430-4147-be06-d9197071fbbd | Aha Retest 1777799503283 | 1 | test
0455b411-3c9e-4e60-80d5-dd18992859ff | Antigravity Corp | 1 | test
420dc533-8e9d-4930-af47-5ef03ea1e36c | Antigravity QA | 1 | test
4d747c1d-ecb7-4f92-88a8-ebbb65838660 | Antigravity QA 1714715040Antigravity QA | 1 | test
b281c19a-9b97-4753-947a-7e47fed149aa | Antigravity QA 1714715040Antigravity QA | 1 | test
164d33a4-4dfb-4447-8843-36dec25df32c | Antygravity Audit | 1 | test
30d762db-9f87-4497-93f1-a3342d4af4b2 | Audit FirmAntigravity QA 1714715040Antigravity QA | 1 | test
9d5960e4-c878-4e94-9a5d-4841c0003dc9 | Auto Co 1777779820855 | 1 | test
94508fbb-4312-4bcc-9928-b5b87e4f78ec | AutoFix Co | 1 | test
1c6820c2-f483-4b7e-a6cd-b0fb497b3646 | [CMVP:CMVP-20260806-0622-dc24b9] QA A | 1 | test
3fa3fb91-6086-4d96-8214-775ee49ce411 | [CMVP:CMVP-20260806-0622-dc24b9] QA B | 1 | test
6c3290eb-0f17-43f3-9906-41f3922e423c | Consultify | 1 | test
37dba748-fcb4-445c-8fcc-bf21c738eb9d | DeepGate Co 1777782574932 | 1 | test
3e0bfb51-7c01-42da-9539-d892c72b0c35 | Final Audit Corp 2 | 1 | test
2ebf535b-0af9-4649-8597-7c028c8f4e75 | Final Retest 1777801063103 | 1 | test
1e595173-896e-4148-8f65-295ef1751826 | Finance Isolation 20260808 2226 | 1 | test
f52b6d2b-e456-4e24-be34-2f983060ccc7 | Gate Fix 1777789183771 | 1 | test
6c6cb6f1-c343-4a3f-9476-8dba79c62705 | Jetski QA | 1 | test
735911f2-4b2d-409c-b5ae-23a33fe4430a | Legacy Retest 1777799486303 | 1 | test
8c0c08d2-7ee9-4e68-9dd9-46627f8dce96 | Metrics Fix 1777789233581 | 1 | test
fa331bb5-8707-4f82-bb2e-51904d7c664e | My CompanyCFO Services Inc | 1 | test
b2bc43c2-92ef-4544-a6ed-f769438ff625 | Onb Fix 1777789198978 | 1 | test
b1a62150-31ee-4d9b-ba9e-b14d6e9e0f65 | Partner Retest 1777799471431 | 1 | test
1320df02-66d6-4fc3-8054-c1aae9a43b58 | Persist Co | 1 | test
29bffcbf-7f21-4197-bac5-4d6e6f6d7101 | Persist Co 1777785469788 | 1 | test
15f69780-675c-4f32-9230-82a4646f15d8 | PM Test GmbH | 2 | test
3c6fb47f-83e3-4c36-b97d-2c479cd47be1 | QA Trial Org | 1 | test
e9ff9ab8-c7c2-4420-b06f-0020e72a11bc | Retest 1777800014109 | 1 | test
16ce8aed-7810-4a19-be1c-20f266a9f75a | Retest Corp | 1 | test
b15de32e-da4e-436b-893b-76f7f82b2ee3 | Retest Corp 1714730077 | 1 | test
2f666dd2-4ee3-4a46-811d-bc783d1ad151 | Test Corp | 1 | test
e2ee830d-e99c-47ab-ad8e-f5a684766194 | Trial Retest 1777785485982 | 1 | test
f27ea588-e5e1-4f85-bc2a-bb91dc19107a | UniqueCorp8069 | 1 | test
1066c435-5b95-48ce-ab29-62573402e94f | E2E Feedback Co | 1 | E2E
410ccc2a-06f0-4a92-98fd-acbb055fde4e | E2E Feedback Co | 1 | E2E
4a99e537-f591-4ce3-a680-defb43a9bae4 | E2E Feedback Co | 1 | E2E
97bc2a67-c828-492b-aa49-89da1ebfa3ad | E2E Feedback Co | 1 | E2E
b89d753d-c9e6-4808-b6ca-220d960ea30c | E2E Feedback Co | 1 | E2E
be1e12e2-f822-4548-be5a-55c56e70a631 | E2E Feedback Co | 1 | E2E
ee5b672d-d7fb-4ad4-989b-dcd8b00ef795 | E2E Feedback Co | 1 | E2E
a63de275-9132-46a5-847f-b810beb4a465 | E2E-local-mqn4oig7 | 1 | E2E
04a92e32-5fe0-4591-81d5-4a1fc8f3eba1 | E2E-local-mqn4t607 | 1 | E2E
2c72cac9-22c7-44f2-90ee-557d4ef983a4 | E2E-local-mqn4whn1 | 1 | E2E
9e70a2bf-9dda-4467-9009-162d12c8babc | E2E Org | 1 | E2E
24fc7130-fc0a-4655-8747-c394b29af171 | E2E Organization | 1 | E2E
47ba03be-ea62-4a39-b8b1-78db102a335d | E2E Tenant (act-3031) | 1 | E2E
c9d03e8b-421e-49de-b187-60d7bc118458 | E2E Tenant (ai2-7728) | 1 | E2E
961d40ac-0e38-4a56-a7e2-59181ebd2711 | E2E Tenant (ai3-17348) | 1 | E2E
e1ab2f3f-8a71-4399-8c95-447e8a3ba66e | E2E Tenant (ai4-17732) | 1 | E2E
